task,shell,seed,op,t_param,t_init,n_nodes,mae,aurc,train_mae,const_mae,beats_const,valid,monotone,loss_thirds,t_learned,params,epochs,n_train,n_eval,hidden,n_layers,secs,device
hops,s4400,0,ppr,softplus,0.5,4400,0.18725507658426507,0.2527380408391267,0.18725507682189346,0.1873957733403553,True,True,True,"[0.07714, 0.0493, 0.04925]",[],3301,200,8,6,32,4,79.2,cuda
hops,s4400,0,sgc,softplus,0.5,4400,0.18725282096840215,0.2527347473766299,0.18725282058119774,0.1873957733403553,True,True,True,"[0.07717, 0.0493, 0.04925]",[],3301,200,8,6,32,4,19.2,cuda
hops,s4400,1,ppr,softplus,0.5,4400,0.18725856211262218,0.25272486368996494,0.18725856196135282,0.1873957731416731,True,True,True,"[0.06306, 0.0493, 0.04925]",[],3301,200,8,6,32,4,78.5,cuda
hops,s4400,1,sgc,softplus,0.5,4400,0.18725625235248697,0.2527229159260984,0.1872562521044165,0.1873957731416731,True,True,True,"[0.06306, 0.0493, 0.04925]",[],3301,200,8,6,32,4,19.3,cuda
hops,s4400,2,ppr,softplus,0.5,4400,0.18733450651168823,0.2528187977459178,0.18733450784093955,0.18739577294299095,True,True,True,"[0.05837, 0.04933, 0.0493]",[],3301,200,8,6,32,4,79.6,cuda
hops,s4400,2,sgc,softplus,0.5,4400,0.1873345553874969,0.25280490062046673,0.18733455516905947,0.18739577294299095,True,True,True,"[0.05837, 0.04933, 0.0493]",[],3301,200,8,6,32,4,19.4,cuda
hops,s4400,3,ppr,softplus,0.5,4400,0.18732312096790835,0.2527753287717341,0.18732312170280652,0.18739577334035526,True,False,True,"[0.05348, 0.04932, 0.0493]",[],3301,200,8,6,32,4,78.8,cuda
hops,s4400,3,sgc,softplus,0.5,4400,0.187321933056369,0.25277359625293466,0.1873219331116839,0.18739577334035526,True,False,True,"[0.05348, 0.04932, 0.0493]",[],3301,200,8,6,32,4,19.4,cuda
hops,s4400,4,ppr,softplus,0.5,4400,0.18724867645086665,0.25269828792411836,0.18724867648360405,0.18739577353903739,True,True,True,"[0.06046, 0.04929, 0.04924]",[],3301,200,8,6,32,4,78.1,cuda
hops,s4400,4,sgc,softplus,0.5,4400,0.1872411650295059,0.25268650957516314,0.1872411649953574,0.18739577353903739,True,True,True,"[0.06046, 0.04929, 0.04924]",[],3301,200,8,6,32,4,19.4,cuda
hops,s4400,5,ppr,softplus,0.5,4400,0.1869946166940711,0.2528120446877616,0.18699461712840604,0.1873957731416731,True,True,True,"[0.06646, 0.04931, 0.04915]",[],3301,200,8,6,32,4,78.7,cuda
hops,s4400,5,sgc,softplus,0.5,4400,0.18734605793248524,0.25283543888842347,0.18734605799683116,0.1873957731416731,True,True,True,"[0.06667, 0.04933, 0.04931]",[],3301,200,8,6,32,4,19.2,cuda
hops,s4400,6,ppr,softplus,0.5,4400,0.18725581897366228,0.2526601206257793,0.18725581866689026,0.18739577294299095,True,True,True,"[0.06103, 0.04932, 0.04927]",[],3301,200,8,6,32,4,78.2,cuda
hops,s4400,6,sgc,softplus,0.5,4400,0.18724587705550774,0.2526567293695015,0.1872458770312369,0.18739577294299095,True,True,True,"[0.06103, 0.04932, 0.04927]",[],3301,200,8,6,32,4,19.3,cuda
hops,s4400,7,ppr,softplus,0.5,4400,0.18729841139957762,0.2527603859998156,0.18729841227727856,0.18739577294299095,True,True,True,"[0.0572, 0.04932, 0.04928]",[],3301,200,8,6,32,4,79.5,cuda
hops,s4400,7,sgc,softplus,0.5,4400,0.1872983776755405,0.25275925073792666,0.18729837788099593,0.18739577294299095,True,True,True,"[0.05708, 0.04932, 0.04928]",[],3301,200,8,6,32,4,21.8,cuda
hops,s4400,8,ppr,softplus,0.5,4400,0.1873018696768717,0.2527845670149293,0.1873018694364212,0.18739577334035526,True,True,True,"[0.06714, 0.04932, 0.04928]",[],3301,200,8,6,32,4,80.5,cuda
hops,s4400,8,sgc,softplus,0.5,4400,0.18727758927552987,0.2527598385540021,0.18727758916602893,0.18739577334035526,True,True,True,"[0.06703, 0.04931, 0.04927]",[],3301,200,8,6,32,4,20.4,cuda
hops,s4400,9,ppr,softplus,0.5,4400,0.18736690396612343,0.2528791882842845,0.187366903856058,0.18739577334035526,True,True,True,"[0.05878, 0.04934, 0.04933]",[],3301,200,8,6,32,4,79.7,cuda
hops,s4400,9,sgc,softplus,0.5,4400,0.18736674037846648,0.25287880851007766,0.18736674057489092,0.18739577334035526,True,True,True,"[0.05878, 0.04934, 0.04933]",[],3301,200,8,6,32,4,19.2,cuda
delay,s4400,0,ppr,softplus,0.5,4400,0.16877928035672415,0.2211446828812358,0.16803713775859003,0.1685373764863294,False,True,True,"[0.0724, 0.04198, 0.04193]",[],3301,200,8,6,32,4,21.5,cuda
delay,s4400,0,sgc,softplus,0.5,4400,0.16877722356299107,0.22114223842901115,0.16803504610629966,0.1685373764863294,False,True,True,"[0.07243, 0.04198, 0.04193]",[],3301,200,8,6,32,4,21.3,cuda
delay,s4400,1,ppr,softplus,0.5,4400,0.1688412251244793,0.22636368397758155,0.17318425487885675,0.1681745908082336,False,True,True,"[0.0585, 0.04395, 0.0439]",[],3301,200,8,6,32,4,21.3,cuda
delay,s4400,1,sgc,softplus,0.5,4400,0.168832378600844,0.22635677955550992,0.1731758193924642,0.1681745908082336,False,True,True,"[0.05851, 0.04394, 0.0439]",[],3301,200,8,6,32,4,21.4,cuda
delay,s4400,2,ppr,softplus,0.5,4400,0.1695638331688877,0.22358547449706165,0.16965179956539278,0.16905582442285252,False,True,True,"[0.05265, 0.04259, 0.04257]",[],3301,200,8,6,32,4,21.4,cuda
delay,s4400,2,sgc,softplus,0.5,4400,0.16956283763585486,0.22357305753343867,0.16965082853799685,0.16905582442285252,False,True,True,"[0.05265, 0.0426, 0.04257]",[],3301,200,8,6,32,4,21.4,cuda
delay,s4400,3,ppr,softplus,0.5,4400,0.16967585531984117,0.2243952120009067,0.1699692011125841,0.1694270793341848,False,True,True,"[0.04754, 0.04271, 0.04268]",[],3301,200,8,6,32,4,21.3,cuda
delay,s4400,3,sgc,softplus,0.5,4400,0.16967455018583374,0.2243940932803392,0.16996790705002654,0.1694270793341848,False,True,True,"[0.04754, 0.04271, 0.04268]",[],3301,200,8,6,32,4,21.4,cuda
delay,s4400,4,ppr,softplus,0.5,4400,0.16430586739252745,0.22098116419759115,0.1702109739963304,0.16370655849808827,False,True,True,"[0.05525, 0.0428, 0.04275]",[],3301,200,8,6,32,4,21.5,cuda
delay,s4400,4,sgc,softplus,0.5,4400,0.1642969110812004,0.2209708007762139,0.17020278359001334,0.16370655849808827,False,True,True,"[0.05524, 0.0428, 0.04275]",[],3301,200,8,6,32,4,21.5,cuda
