task,shell,seed,op,t_param,t_init,n_nodes,mae,aurc,train_mae,const_mae,beats_const,valid,monotone,loss_thirds,t_learned,params,epochs,n_train,n_eval,hidden,n_layers,secs,device
hops,s4400,0,gcn,relu,2.0,4400,0.18727057079361242,0.2530495001901643,0.18727057080715892,0.1873957733403553,True,True,True,"[0.07732, 0.0493, 0.04925]",[],3301,200,8,6,32,4,26.5,cuda
hops,s4400,0,heat,relu,2.0,4400,0.1872485909825473,0.2527272145338882,0.1872485921684314,0.1873957733403553,True,True,True,"[0.07717, 0.0493, 0.04924]","[1.0619, -0.1441, -0.1283, -0.1284]",3301,200,8,6,32,4,65.1,cuda
hops,s4400,0,qw,relu,2.0,4400,0.18724885744917574,0.25272489656926095,0.18724886995401574,0.1873957733403553,True,True,True,"[0.0772, 0.0493, 0.04923]","[0.7248, 0.3196, 0.348, 0.3456]",3301,200,8,6,32,4,125.7,cuda
hops,s4400,1,gcn,relu,2.0,4400,0.18695068544397753,0.2505110863386026,0.1869506854648617,0.1873957731416731,True,True,True,"[0.06326, 0.0493, 0.04921]",[],3301,200,8,6,32,4,18.3,cuda
hops,s4400,1,heat,relu,2.0,4400,0.1872526894667835,0.2527137969277966,0.1872526802706786,0.1873957731416731,True,True,True,"[0.06307, 0.0493, 0.04924]","[1.1812, -0.1132, -0.1514, -0.1532]",3301,200,8,6,32,4,64.8,cuda
hops,s4400,1,qw,relu,2.0,4400,0.18725244375905303,0.25270468711708743,0.18725244022990495,0.1873957731416731,True,True,True,"[0.0631, 0.0493, 0.04924]","[0.7503, 0.4028, 0.3139, 0.3207]",3301,200,8,6,32,4,126.4,cuda
hops,s4400,2,gcn,relu,2.0,4400,0.18734049525224802,0.2526943402429427,0.18734049525789237,0.18739577294299095,True,True,True,"[0.05837, 0.04932, 0.0493]",[],3301,200,8,6,32,4,18.4,cuda
hops,s4400,2,heat,relu,2.0,4400,0.18733249866601195,0.25280945179340314,0.18733249892565335,0.18739577294299095,True,True,True,"[0.05838, 0.04933, 0.0493]","[0.667, -0.1488, -0.1871, -0.1866]",3301,200,8,6,32,4,65.0,cuda
hops,s4400,2,qw,relu,2.0,4400,0.1873309203474359,0.2528100843325034,0.18733092091384934,0.18739577294299095,True,True,True,"[0.05839, 0.04933, 0.0493]","[0.6484, 0.0846, 0.0745, 0.0713]",3301,200,8,6,32,4,126.3,cuda
hops,s4400,3,gcn,relu,2.0,4400,0.18732985124782178,0.2527816037331832,0.18732985123653303,0.18739577334035526,True,False,True,"[0.05352, 0.04932, 0.0493]",[],3301,200,8,6,32,4,18.4,cuda
hops,s4400,3,heat,relu,2.0,4400,0.18731777658178048,0.25276728194255815,0.18731778062372045,0.18739577334035526,True,False,True,"[0.05348, 0.04932, 0.04929]","[0.9191, -0.1575, -0.1904, -0.2223]",3301,200,8,6,32,4,65.1,cuda
hops,s4400,3,qw,relu,2.0,4400,0.1873155196507772,0.25275539371901046,0.18731552322733808,0.18739577334035526,True,False,True,"[0.05348, 0.04932, 0.04929]","[0.7127, 0.0888, 0.0772, -0.0097]",3301,200,8,6,32,4,126.3,cuda
