task,shell,seed,op,t_param,t_init,n_nodes,mae,aurc,train_mae,const_mae,beats_const,valid,monotone,loss_thirds,t_learned,params,epochs,n_train,n_eval,hidden,n_layers,secs,device
hops,s4400,0,gcn,softplus,0.5,4400,0.18727057079361242,0.2530495001901643,0.18727057080715892,0.1873957733403553,True,True,True,"[0.07732, 0.0493, 0.04925]",[],3301,200,8,6,32,4,688.2,cuda
hops,s4400,0,heat,softplus,0.5,4400,0.1872557391011805,0.25272859242219464,0.18725573530759324,0.1873957733403553,True,True,True,"[0.07735, 0.0493, 0.04924]","[0.9054, 0.0887, 0.0891, 0.0891]",3301,200,8,6,32,4,130.1,cuda
hops,s4400,0,qw,softplus,0.5,4400,0.18372501380346487,0.25413817154318147,0.18372501764234833,0.1873957733403553,True,True,True,"[0.07735, 0.04925, 0.04843]","[0.0423, 0.3306, 1.6564, 1.6284]",3301,200,8,6,32,4,266.2,cuda
hops,s4400,1,gcn,softplus,0.5,4400,0.18695068544397753,0.2505110863386026,0.1869506854648617,0.1873957731416731,True,True,True,"[0.06326, 0.0493, 0.04921]",[],3301,200,8,6,32,4,437.3,cuda
hops,s4400,1,heat,softplus,0.5,4400,0.18725438429324914,0.2527241436402235,0.18725439047694883,0.1873957731416731,True,True,True,"[0.06289, 0.0493, 0.04924]","[1.1422, 0.1065, 0.0846, 0.0845]",3301,200,8,6,32,4,88.7,cuda
hops,s4400,1,qw,softplus,0.5,4400,0.18566976250459752,0.24242679226190098,0.1856697642921724,0.1873957731416731,True,True,True,"[0.06329, 0.04929, 0.04873]","[0.8601, 0.404, 0.9381, 0.9216]",3301,200,8,6,32,4,281.0,cuda
hops,s4400,2,gcn,softplus,0.5,4400,0.18734049525224802,0.2526943402429427,0.18734049525789237,0.18739577294299095,True,True,True,"[0.05837, 0.04932, 0.0493]",[],3301,200,8,6,32,4,25.1,cuda
hops,s4400,2,heat,softplus,0.5,4400,0.18733400008443626,0.25281432138254784,0.1873340002320368,0.18739577294299095,True,True,True,"[0.05836, 0.04932, 0.0493]","[0.6322, 0.0921, 0.0881, 0.0881]",3301,200,8,6,32,4,83.9,cuda
hops,s4400,2,qw,softplus,0.5,4400,0.18725121296490685,0.2527082690001055,0.1872512138601054,0.18739577294299095,True,True,True,"[0.05835, 0.04932, 0.04927]","[0.7206, 0.2166, 0.2076, 0.1979]",3301,200,8,6,32,4,296.6,cuda
hops,s4400,3,gcn,softplus,0.5,4400,0.18732985124782178,0.2527816037331832,0.18732985123653303,0.18739577334035526,True,False,True,"[0.05352, 0.04932, 0.0493]",[],3301,200,8,6,32,4,30.2,cuda
hops,s4400,3,heat,softplus,0.5,4400,0.18732391530704318,0.2527727177166618,0.1873239173105156,0.18739577334035526,True,False,True,"[0.05352, 0.04932, 0.04929]","[0.8209, 0.087, 0.0867, 0.0777]",3301,200,8,6,32,4,89.0,cuda
hops,s4400,3,qw,softplus,0.5,4400,0.18726751005107709,0.25789401487305813,0.18726750794036146,0.18739577334035526,True,False,False,"[0.05352, 0.04928, 0.04931]","[0.8537, 0.5427, 0.159, 0.767]",3301,200,8,6,32,4,313.1,cuda
hops,s4400,4,gcn,softplus,0.5,4400,0.1867260279506445,0.2516579937308391,0.1867260279464112,0.18739577353903739,True,True,True,"[0.06039, 0.04919, 0.04898]",[],3301,200,8,6,32,4,20.7,cuda
hops,s4400,4,heat,softplus,0.5,4400,0.18724089497756777,0.2526833399541319,0.1872408926859498,0.18739577353903739,True,True,True,"[0.06046, 0.04928, 0.04923]","[1.5953, 0.0802, 0.0804, 0.0806]",3301,200,8,6,32,4,134.9,cuda
hops,s4400,4,qw,softplus,0.5,4400,0.18726999570361594,0.25272303253828493,0.18726999281905593,0.18739577353903739,True,True,True,"[0.0604, 0.04929, 0.04925]","[0.7412, 0.2651, 0.2586, 0.2607]",3301,200,8,6,32,4,294.4,cuda
hops,s4400,5,gcn,softplus,0.5,4400,0.1871873059281797,0.252542825696587,0.18718730593015526,0.1873957731416731,True,True,True,"[0.0663, 0.0493, 0.04921]",[],3301,200,8,6,32,4,22.1,cuda
hops,s4400,5,heat,softplus,0.5,4400,0.1873464430338054,0.252835149233489,0.18734644514593213,0.1873957731416731,True,True,True,"[0.06665, 0.04933, 0.04931]","[0.6357, 0.0844, 0.0847, 0.0844]",3301,200,8,6,32,4,154.8,cuda
hops,s4400,5,qw,softplus,0.5,4400,0.18624784002701442,0.24922517783321488,0.18624783310785212,0.1873957731416731,True,True,True,"[0.06631, 0.04924, 0.04882]","[0.8799, 1.6152, 0.5234, 0.3535]",3301,200,8,6,32,4,297.0,cuda
hops,s4400,6,gcn,softplus,0.5,4400,0.18714839166312505,0.2558346978609831,0.18714839160611685,0.18739577294299095,True,True,True,"[0.06083, 0.04931, 0.04919]",[],3301,200,8,6,32,4,26.6,cuda
hops,s4400,6,heat,softplus,0.5,4400,0.18720387325029483,0.25109191585399304,0.18720387140542946,0.18739577294299095,True,True,True,"[0.06105, 0.04932, 0.04924]","[1.9658, 0.0882, 0.0673, 0.0621]",3301,200,8,6,32,4,160.3,cuda
hops,s4400,6,qw,softplus,0.5,4400,0.18731857348797898,0.25280356840870744,0.18731857468374075,0.18739577294299095,True,True,True,"[0.06094, 0.04932, 0.04929]","[0.816, 0.4123, 0.1733, 0.1683]",3301,200,8,6,32,4,290.5,cuda
hops,s4400,7,gcn,softplus,0.5,4400,0.18731223476655556,0.2527738698159312,0.1873122347730466,0.18739577294299095,True,True,True,"[0.0575, 0.04931, 0.04928]",[],3301,200,8,6,32,4,22.0,cuda
hops,s4400,7,heat,softplus,0.5,4400,0.187300320015938,0.25276314476239914,0.1873003233037889,0.18739577294299095,True,True,True,"[0.05737, 0.04931, 0.04928]","[0.9417, 0.1848, 0.0947, 0.0949]",3301,200,8,6,32,4,147.2,cuda
hops,s4400,7,qw,softplus,0.5,4400,0.1873021302225463,0.2527628247985844,0.1873021304497326,0.18739577294299095,True,True,True,"[0.05739, 0.04931, 0.04928]","[0.757, 0.3924, 0.1721, 0.1779]",3301,200,8,6,32,4,296.0,cuda
hops,s4400,8,gcn,softplus,0.5,4400,0.18578722686662028,0.2502367425013415,0.1857872268809429,0.18739577334035526,True,True,True,"[0.06676, 0.04923, 0.04884]",[],3301,200,8,6,32,4,22.3,cuda
hops,s4400,8,heat,softplus,0.5,4400,0.18673717248959074,0.24983247647012405,0.18673717441460624,0.18739577334035526,True,True,True,"[0.06713, 0.04926, 0.04898]","[1.5992, 1.3878, 0.0715, 0.069]",3301,200,8,6,32,4,152.3,cuda
hops,s4400,8,qw,softplus,0.5,4400,0.18196199907780145,0.25558926242765573,0.18196200052826583,0.18739577334035526,True,True,True,"[0.06681, 0.04917, 0.04824]","[0.7925, 1.7695, 0.5902, 0.9717]",3301,200,8,6,32,4,296.4,cuda
hops,s4400,9,gcn,softplus,0.5,4400,0.18736643930727784,0.2528755886578315,0.18736643930558455,0.18739577334035526,True,True,True,"[0.05878, 0.04934, 0.04933]",[],3301,200,8,6,32,4,22.0,cuda
hops,s4400,9,heat,softplus,0.5,4400,0.18736597828002588,0.25287521518609696,0.18736597904004157,0.18739577334035526,True,True,True,"[0.05878, 0.04934, 0.04933]","[0.639, 0.152, 0.1355, 0.134]",3301,200,8,6,32,4,148.2,cuda
hops,s4400,9,qw,softplus,0.5,4400,0.18674135790291155,0.2544818083740316,0.18674136339940806,0.18739577334035526,True,True,True,"[0.05875, 0.0493, 0.04913]","[0.8017, 1.4433, 0.1239, 0.1389]",3301,200,8,6,32,4,301.2,cuda
delay,s4400,0,gcn,softplus,0.5,4400,0.16879514193839648,0.22114911171858398,0.16805298533232418,0.1685373764863294,False,True,True,"[0.07259, 0.04198, 0.04192]",[],3301,200,8,6,32,4,25.0,cuda
delay,s4400,0,heat,softplus,0.5,4400,0.16877810147957817,0.221132950027793,0.16803571022311437,0.1685373764863294,False,True,True,"[0.0726, 0.04197, 0.04191]","[0.8556, 0.0819, 0.0824, 0.0823]",3301,200,8,6,32,4,146.9,cuda
delay,s4400,0,qw,softplus,0.5,4400,0.16877885364955572,0.22113286083311923,0.16803646252009044,0.1685373764863294,False,True,True,"[0.0726, 0.04197, 0.04191]","[0.7247, 0.2156, 0.2114, 0.2177]",3301,200,8,6,32,4,296.5,cuda
delay,s4400,1,gcn,softplus,0.5,4400,0.16804644442872482,0.22205786642601366,0.17267629158757203,0.1681745908082336,True,True,True,"[0.0589, 0.04394, 0.04386]",[],3301,200,8,6,32,4,25.6,cuda
delay,s4400,1,heat,softplus,0.5,4400,0.1688301297209832,0.22633835136325697,0.1731750745977148,0.1681745908082336,False,True,True,"[0.05849, 0.04394, 0.04388]","[0.9616, 0.0896, 0.074, 0.0743]",3301,200,8,6,32,4,140.5,cuda
delay,s4400,1,qw,softplus,0.5,4400,0.1674474413648149,0.22609252425141013,0.17180280040685003,0.1681745908082336,True,True,True,"[0.05889, 0.04376, 0.04325]","[0.9999, 1.5542, 0.2143, 0.2068]",3301,200,8,6,32,4,288.0,cuda
delay,s4400,2,gcn,softplus,0.5,4400,0.16956784974753672,0.22357472334013148,0.1696558415984989,0.16905582442285252,False,True,True,"[0.05255, 0.04259, 0.04257]",[],3301,200,8,6,32,4,21.8,cuda
delay,s4400,2,heat,softplus,0.5,4400,0.16956097049665086,0.22355613318453468,0.16964900005545297,0.16905582442285252,False,True,True,"[0.05264, 0.04259, 0.04256]","[0.6205, 0.0832, 0.0818, 0.0818]",3301,200,8,6,32,4,140.4,cuda
delay,s4400,2,qw,softplus,0.5,4400,0.16956840426264205,0.22358075978014536,0.16965638452230697,0.16905582442285252,False,True,True,"[0.05239, 0.04259, 0.04257]","[0.6388, 0.1472, 0.1373, 0.1358]",3301,200,8,6,32,4,288.0,cuda
delay,s4400,3,gcn,softplus,0.5,4400,0.16968120542146745,0.22439524962967872,0.16997458133600463,0.1694270793341848,False,True,True,"[0.04759, 0.04271, 0.04268]",[],3301,200,8,6,32,4,22.1,cuda
delay,s4400,3,heat,softplus,0.5,4400,0.1696735213757987,0.22438395304047706,0.16996701992802132,0.1694270793341848,False,True,True,"[0.04759, 0.04271, 0.04267]","[0.739, 0.0758, 0.0755, 0.0718]",3301,200,8,6,32,4,138.5,cuda
delay,s4400,3,qw,softplus,0.5,4400,0.17197247109788638,0.24376155868215688,0.17202768278654812,0.1694270793341848,False,True,True,"[0.04759, 0.04267, 0.04234]","[1.0228, 0.6201, 0.0911, 0.6767]",3301,200,8,6,32,4,290.8,cuda
delay,s4400,4,gcn,softplus,0.5,4400,0.16326501308862743,0.21979766821337066,0.16925910049626097,0.16370655849808827,True,True,True,"[0.05499, 0.04263, 0.04231]",[],3301,200,8,6,32,4,22.0,cuda
