task,shell,seed,op,t_param,t_init,n_nodes,mae,aurc,train_mae,const_mae,beats_const,valid,monotone,loss_thirds,t_learned,params,epochs,n_train,n_eval,hidden,n_layers,secs,device
hops,s3168,0,ppr,softplus,0.5,3168,0.1570489690435254,0.22828176019504373,0.15704896321697773,0.1775131322700618,True,True,True,"[0.05108, 0.04371, 0.03896]",[],3301,1000,8,6,32,4,35.8,cuda
hops,s3168,0,sgc,softplus,0.5,3168,0.15967903568359212,0.23222963349055106,0.15967903809088066,0.1775131322700618,True,True,True,"[0.05108, 0.0438, 0.03908]",[],3301,1000,8,6,32,4,34.3,cuda
hops,s3168,1,ppr,softplus,0.5,3168,0.16293264390439774,0.2317799721653979,0.16293264343903044,0.17751313254600928,True,True,True,"[0.04822, 0.04179, 0.03853]",[],3301,1000,8,6,32,4,34.1,cuda
hops,s3168,1,sgc,softplus,0.5,3168,0.16286595424900602,0.232721129248628,0.162865954625004,0.17751313254600928,True,False,False,"[0.04825, 0.04109, 0.04219]",[],3301,1000,8,6,32,4,34.1,cuda
hops,s3168,2,ppr,softplus,0.5,3168,0.1721045578616712,0.24476847045287953,0.1721045579114515,0.17751313199411436,True,True,True,"[0.04742, 0.04363, 0.04187]",[],3301,1000,8,6,32,4,34.1,cuda
hops,s3168,2,sgc,softplus,0.5,3168,0.16787936698617126,0.23402263795576758,0.16787936713139648,0.17751313199411436,True,True,True,"[0.04742, 0.04374, 0.03849]",[],3301,1000,8,6,32,4,34.1,cuda
hops,s3168,3,ppr,softplus,0.5,3168,0.16829566180553943,0.23679274040631879,0.1682956606852869,0.1775131328219567,True,True,True,"[0.04638, 0.04524, 0.04057]",[],3301,1000,8,6,32,4,34.1,cuda
hops,s3168,3,sgc,softplus,0.5,3168,0.15452549099135887,0.2260632007977583,0.15452548456416498,0.1775131328219567,True,True,True,"[0.04638, 0.04376, 0.03765]",[],3301,1000,8,6,32,4,34.1,cuda
hops,s3168,4,ppr,softplus,0.5,3168,0.16187460465718886,0.23199801956520072,0.16187460367206835,0.17751313227006182,True,True,True,"[0.04774, 0.04307, 0.041]",[],3301,1000,8,6,32,4,34.2,cuda
hops,s3168,4,sgc,softplus,0.5,3168,0.15926502424669342,0.22964318891281787,0.1592650234352649,0.17751313227006182,True,True,True,"[0.04772, 0.0418, 0.03872]",[],3301,1000,8,6,32,4,34.1,cuda
