task,shell,seed,op,t_param,t_init,n_nodes,mae,aurc,train_mae,const_mae,beats_const,valid,monotone,loss_thirds,t_learned,params,epochs,n_train,n_eval,hidden,n_layers,secs,device
hops,s3168,0,gcn,relu,0.5,3168,0.17547341418665793,0.25497489406832125,0.1754734145560904,0.1775131322700618,True,True,True,"[0.05112, 0.04482, 0.04445]",[],3301,1000,8,6,32,4,69.8,cuda
hops,s3168,0,heat,relu,0.5,3168,0.14901698957376108,0.2356568163935396,0.1490169849277314,0.1775131322700618,True,True,True,"[0.05072, 0.04537, 0.03604]","[13.006, -0.1315, -0.1196, -0.12]",3301,1000,8,6,32,4,111.3,cuda
hops,s3168,0,qw,relu,0.5,3168,0.16726839372430388,0.23392220046700965,0.16726838865533772,0.1775131322700618,True,True,True,"[0.04973, 0.04934, 0.04175]","[-0.0613, 1.6089, 2.4153, 3.5876]",3301,1000,8,6,32,4,234.7,cuda
hops,s3168,1,gcn,relu,0.5,3168,0.17174666056014373,0.2410939394742576,0.171746660569845,0.17751313254600928,True,True,True,"[0.04847, 0.04475, 0.04295]",[],3301,1000,8,6,32,4,58.6,cuda
hops,s3168,1,heat,relu,0.5,3168,0.130970201369999,0.21323266086586426,0.13097020872954437,0.17751313254600928,True,True,True,"[0.04824, 0.04507, 0.03685]","[12.4611, -0.1494, -0.1509, -0.1474]",3301,1000,8,6,32,4,112.0,cuda
hops,s3168,1,qw,relu,0.5,3168,0.17751312744725334,0.2450398537216463,0.17751312625566215,0.17751313254600928,True,False,False,"[0.04743, 0.03241, 0.04412]","[4.7685, 5.4225, -0.0077, -0.0097]",3301,1000,8,6,32,4,232.3,cuda
hops,s3168,2,gcn,relu,0.5,3168,0.1720622528378886,0.2412574420490363,0.17206225298213387,0.17751313199411436,True,False,True,"[0.04741, 0.04483, 0.04308]",[],3301,1000,8,6,32,4,57.8,cuda
hops,s3168,2,heat,relu,0.5,3168,0.14635075680967985,0.21250387872776041,0.14635075882284176,0.17751313199411436,True,True,True,"[0.04741, 0.04284, 0.03622]","[13.4147, -0.0187, -0.1594, -0.1596]",3301,1000,8,6,32,4,111.5,cuda
hops,s3168,2,qw,relu,0.5,3168,0.17891109746297576,0.29680862329969426,0.1789110905256809,0.17751313199411436,False,False,True,"[0.04739, 0.04529, 0.04274]","[1.6581, -0.0041, -0.0108, -0.0106]",3301,1000,8,6,32,4,231.0,cuda
hops,s3168,3,gcn,relu,0.5,3168,0.17249167920717412,0.24208247550275439,0.17249167935024345,0.1775131328219567,True,False,True,"[0.04643, 0.04499, 0.04329]",[],3301,1000,8,6,32,4,57.7,cuda
hops,s3168,3,heat,relu,0.5,3168,0.13737219257941877,0.21447215112281723,0.13737218226294381,0.1775131328219567,True,True,True,"[0.04645, 0.04497, 0.03526]","[9.7838, -0.159, -0.1615, -0.1543]",3301,1000,8,6,32,4,111.6,cuda
hops,s3168,3,qw,relu,0.5,3168,0.1698967961105283,0.24504668304190227,0.16989681265002934,0.1775131328219567,True,False,True,"[0.04655, 0.04364, 0.04274]","[1.6288, -0.0347, -0.0266, -0.0582]",3301,1000,8,6,32,4,230.3,cuda
hops,s3168,4,gcn,relu,0.5,3168,0.17228200699920806,0.24143895667560908,0.17228200700636154,0.17751313227006182,True,False,True,"[0.04749, 0.04536, 0.04342]",[],3301,1000,8,6,32,4,57.8,cuda
hops,s3168,4,heat,relu,0.5,3168,0.17656858153766652,0.2434084945431941,0.17656858054794033,0.17751313227006182,True,False,False,"[0.04766, 0.04182, 0.04669]","[10.0973, -0.1412, -0.1397, -0.1397]",3301,1000,8,6,32,4,111.6,cuda
hops,s3168,4,qw,relu,0.5,3168,0.1740517559722348,0.2424687693566412,0.1740517479716212,0.17751313227006182,True,False,True,"[0.04773, 0.04505, 0.04427]","[1.0288, -0.0059, -0.0108, -0.0113]",3301,1000,8,6,32,4,230.4,cuda
hops,s3168,5,gcn,relu,0.5,3168,0.17228669640082891,0.2414524688404324,0.1722866963339979,0.17751313254600923,True,True,True,"[0.04888, 0.04455, 0.0431]",[],3301,1000,8,6,32,4,53.0,cuda
hops,s3168,5,heat,relu,0.5,3168,0.1776942671982176,0.240952764970807,0.17769426719821763,0.17751313254600923,False,True,True,"[0.04827, 0.03869, 0.03435]","[13.6817, -0.1315, -0.1339, -0.135]",3301,1000,8,6,32,4,112.1,cuda
