task,shell,seed,op,t_param,t_init,n_nodes,mae,aurc,train_mae,const_mae,beats_const,valid,monotone,loss_thirds,t_learned,params,epochs,n_train,n_eval,hidden,n_layers,secs,device
hops,s3168,0,gcn,softplus,0.5,3168,0.17547341418665793,0.25497489406832125,0.1754734145560904,0.1775131322700618,True,True,True,"[0.05112, 0.04482, 0.04445]",[],3301,1000,8,6,32,4,69.8,cuda
hops,s3168,0,heat,softplus,0.5,3168,0.10554503313240654,0.16540606011195283,0.10554503445217217,0.1775131322700618,True,True,True,"[0.0511, 0.04177, 0.03094]","[13.7593, 7.0418, 6.0517, 5.4317]",3301,1000,8,6,32,4,114.0,cuda
hops,s3168,0,qw,softplus,0.5,3168,0.1887582241093445,0.30337104994995334,0.18875823459515084,0.1775131322700618,False,True,True,"[0.0497, 0.04432, 0.02629]","[4.3362, 5.3988, 2.4356, 1.2832]",3301,1000,8,6,32,4,270.6,cuda
hops,s3168,1,gcn,softplus,0.5,3168,0.17174666056014373,0.2410939394742576,0.171746660569845,0.17751313254600928,True,True,True,"[0.04847, 0.04475, 0.04295]",[],3301,1000,8,6,32,4,34.8,cuda
hops,s3168,1,heat,softplus,0.5,3168,0.11112355101467125,0.18355283912485576,0.11112354240072139,0.17751313254600928,True,True,True,"[0.04824, 0.04347, 0.03425]","[12.5038, 5.9909, 2.7938, 2.9926]",3301,1000,8,6,32,4,129.8,cuda
hops,s3168,1,qw,softplus,0.5,3168,0.1775131331355333,0.245039980755593,0.1775131320458545,0.17751313254600928,False,False,False,"[0.04694, 0.04486, 0.04568]","[3.4393, 4.2005, 0.3909, 2.1686]",3301,1000,8,6,32,4,291.0,cuda
hops,s3168,2,gcn,softplus,0.5,3168,0.1720622528378886,0.2412574420490363,0.17206225298213387,0.17751313199411436,True,False,True,"[0.04741, 0.04483, 0.04308]",[],3301,1000,8,6,32,4,37.3,cuda
hops,s3168,2,heat,softplus,0.5,3168,0.1715326567465809,0.2763455586047567,0.17153265655647512,0.17751313199411436,True,True,True,"[0.04741, 0.04381, 0.03151]","[12.7403, 6.1445, 6.0982, 5.4906]",3301,1000,8,6,32,4,136.4,cuda
hops,s3168,2,qw,softplus,0.5,3168,0.17444342263168355,0.2458749030516838,0.17444342241217992,0.17751313199411436,True,False,False,"[0.04739, 0.0435, 0.04459]","[1.4843, 3.007, 1.9231, 0.3158]",3301,1000,8,6,32,4,311.0,cuda
hops,s3168,3,gcn,softplus,0.5,3168,0.17249167920717412,0.24208247550275439,0.17249167935024345,0.1775131328219567,True,False,True,"[0.04643, 0.04499, 0.04329]",[],3301,1000,8,6,32,4,33.9,cuda
hops,s3168,3,heat,softplus,0.5,3168,0.1775131518623293,0.2450404110503012,0.1775131518623293,0.1775131328219567,False,False,False,"[0.04639, 0.04348, 0.04453]","[8.9223, 3.5559, 1.7373, 4.3512]",3301,1000,8,6,32,4,139.7,cuda
hops,s3168,3,qw,softplus,0.5,3168,0.08843698371076324,0.14476349985775094,0.08843698304245304,0.1775131328219567,True,True,True,"[0.04559, 0.04309, 0.03635]","[5.0425, 3.8119, 1.0631, 1.9827]",3301,1000,8,6,32,4,306.3,cuda
hops,s3168,4,gcn,softplus,0.5,3168,0.17228200699920806,0.24143895667560908,0.17228200700636154,0.17751313227006182,True,False,True,"[0.04749, 0.04536, 0.04342]",[],3301,1000,8,6,32,4,37.2,cuda
hops,s3168,4,heat,softplus,0.5,3168,0.14817849172260425,0.20662097241580699,0.14817849063018168,0.17751313227006182,True,True,True,"[0.04766, 0.04181, 0.03117]","[12.1191, 6.1705, 5.539, 5.4012]",3301,1000,8,6,32,4,145.7,cuda
hops,s3168,4,qw,softplus,0.5,3168,0.15261345336006749,0.22028929459781424,0.15261345926079561,0.17751313227006182,True,False,True,"[0.04773, 0.04507, 0.04368]","[0.9391, 3.1202, 1.3534, 1.7388]",3301,1000,8,6,32,4,310.4,cuda
hops,s3168,5,gcn,softplus,0.5,3168,0.17228669640082891,0.2414524688404324,0.1722866963339979,0.17751313254600923,True,True,True,"[0.04888, 0.04455, 0.0431]",[],3301,1000,8,6,32,4,37.6,cuda
hops,s3168,5,heat,softplus,0.5,3168,0.09155828877852333,0.15703940744630848,0.09155827854240237,0.17751313254600923,True,True,True,"[0.04904, 0.04041, 0.02479]","[13.0363, 9.766, 6.1497, 5.9805]",3301,1000,8,6,32,4,136.3,cuda
hops,s3168,5,qw,softplus,0.5,3168,0.05402279024087645,0.09748596674944131,0.05402278923370753,0.17751313254600923,True,True,True,"[0.04759, 0.0222, 0.0086]","[1.1592, 5.8342, 2.6466, 5.1106]",3301,1000,8,6,32,4,315.6,cuda
hops,s3168,6,gcn,softplus,0.5,3168,0.17525153195080567,0.24331441750717375,0.17525153198853288,0.17751313199411436,True,False,False,"[0.04752, 0.04348, 0.04459]",[],3301,1000,8,6,32,4,37.9,cuda
hops,s3168,6,heat,softplus,0.5,3168,0.18719243147702078,0.2914503440983499,0.1871924315064186,0.17751313199411436,False,False,False,"[0.04715, 0.03432, 0.03933]","[10.0783, 7.3499, 7.3737, 7.2895]",3301,1000,8,6,32,4,136.6,cuda
hops,s3168,6,qw,softplus,0.5,3168,0.10027345282461507,0.1407767181187168,0.10027344998870646,0.17751313199411436,True,True,True,"[0.04786, 0.04168, 0.0357]","[3.095, 4.6915, 1.9502, 3.6307]",3301,1000,8,6,32,4,310.8,cuda
hops,s3168,7,gcn,softplus,0.5,3168,0.17564201640883956,0.24248935890296083,0.1756420164013921,0.17751313254600923,True,False,True,"[0.04714, 0.04482, 0.04478]",[],3301,1000,8,6,32,4,34.0,cuda
hops,s3168,7,heat,softplus,0.5,3168,0.12461239307874229,0.2045044352765075,0.12461239223149746,0.17751313254600923,True,False,False,"[0.04714, 0.04131, 0.04187]","[10.9498, 6.1144, 4.1301, 3.2827]",3301,1000,8,6,32,4,143.0,cuda
hops,s3168,7,qw,softplus,0.5,3168,0.17751511384855315,0.24484561610678127,0.17751511384855317,0.17751313254600923,False,True,True,"[0.04711, 0.04439, 0.04065]","[2.9675, 4.6052, 3.0963, 1.3758]",3301,1000,8,6,32,4,308.3,cuda
hops,s3168,8,gcn,softplus,0.5,3168,0.17227804992815968,0.24142485042292786,0.17227804994329957,0.17751313199411436,True,True,True,"[0.0487, 0.04387, 0.04353]",[],3301,1000,8,6,32,4,34.1,cuda
hops,s3168,8,heat,softplus,0.5,3168,0.15145197540273894,0.21616284404425448,0.151451974758535,0.17751313199411436,True,True,True,"[0.04869, 0.04045, 0.03713]","[5.0347, 4.8593, 0.0026, 8.5286]",3301,1000,8,6,32,4,146.1,cuda
