task,shell,seed,op,t_param,t_init,n_nodes,mae,aurc,train_mae,const_mae,beats_const,valid,monotone,loss_thirds,t_learned,params,epochs,n_train,n_eval,hidden,n_layers,secs,device,seam,ppr_alpha,sgc_k,dtype,const_aurc,ppr_k
hops,s1584,0,gcn,softplus,0.5,1584,0.19712731169081912,0.25254191319024955,0.19712731169081915,0.20184178746803996,True,True,True,"[0.06011, 0.05453, 0.05354]",[],3301,1000,8,6,32,4,36.9,cuda,keep,0.05,8,float64,0.25842925074459583,20
hops,s1584,0,heat,softplus,0.5,1584,0.09698359748398844,0.1490372653304645,0.09698359748398624,0.20184178746803996,True,True,True,"[0.0585, 0.04149, 0.01854]","[0.1814, 0.0006, 8.5479, 7.8678]",3301,1000,8,6,32,4,446.3,cuda,keep,0.05,8,float64,0.25842925074459583,20
hops,s1584,0,qw,softplus,0.5,1584,0.10242890293193131,0.19304506538089183,0.1024289029319312,0.20184178746803996,True,True,True,"[0.06004, 0.04785, 0.03099]","[0.9798, 3.3064, 3.0374, 2.111]",3301,1000,8,6,32,4,886.5,cuda,keep,0.05,8,float64,0.25842925074459583,20
hops,s1584,1,gcn,softplus,0.5,1584,0.19104744121804507,0.24983736154233704,0.19104744121804507,0.20184178746803996,True,False,True,"[0.05771, 0.0548, 0.05364]",[],3301,1000,8,6,32,4,35.5,cuda,keep,0.05,8,float64,0.25842925074459583,20
hops,s1584,1,heat,softplus,0.5,1584,0.0860821831024086,0.14186304700385383,0.08608218310240923,0.20184178746803996,True,True,True,"[0.05756, 0.03519, 0.01969]","[11.6094, 6.1567, 5.6113, 5.6711]",3301,1000,8,6,32,4,446.7,cuda,keep,0.05,8,float64,0.25842925074459583,20
hops,s1584,1,qw,softplus,0.5,1584,0.05598121664668265,0.06626201734635524,0.05598121664668269,0.20184178746803996,True,True,True,"[0.05625, 0.02879, 0.00921]","[2.6071, 5.57, 2.0225, 5.964]",3301,1000,8,6,32,4,886.1,cuda,keep,0.05,8,float64,0.25842925074459583,20
hops,s1584,2,gcn,softplus,0.5,1584,0.19025230798691553,0.25026767360788305,0.1902523079869155,0.20184178746803996,True,False,True,"[0.05599, 0.05093, 0.05053]",[],3301,1000,8,6,32,4,35.6,cuda,keep,0.05,8,float64,0.25842925074459583,20
hops,s1584,2,heat,softplus,0.5,1584,0.07857338701981384,0.10661247744820856,0.07857338701982054,0.20184178746803996,True,True,True,"[0.05622, 0.03741, 0.01175]","[0.0798, 8.0661, 7.2784, 7.2111]",3301,1000,8,6,32,4,446.7,cuda,keep,0.05,8,float64,0.25842925074459583,20
hops,s1584,2,qw,softplus,0.5,1584,0.05715472925606433,0.0619850593922134,0.057154729256064345,0.20184178746803996,True,True,True,"[0.04196, 0.00895, 0.00553]","[0.0202, 5.3459, 3.5289, 6.5215]",3301,1000,8,6,32,4,885.3,cuda,keep,0.05,8,float64,0.25842925074459583,20
hops,s1584,3,gcn,softplus,0.5,1584,0.19191264992052456,0.2511858165448558,0.19191264992052454,0.20184178746803996,True,True,True,"[0.05891, 0.05381, 0.05169]",[],3301,1000,8,6,32,4,33.8,cuda,keep,0.05,8,float64,0.25842925714778586,20
hops,s1584,3,heat,softplus,0.5,1584,0.20184713969063062,0.2584921713497427,0.20184713969063056,0.20184178746803996,False,False,False,"[0.05884, 0.03514, 0.03799]","[10.2187, 5.7382, 5.4492, 5.304]",3301,1000,8,6,32,4,447.2,cuda,keep,0.05,8,float64,0.25842925714778586,20
hops,s1584,3,qw,softplus,0.5,1584,0.04665713124191103,0.07837602452140248,0.04665713124191104,0.20184178746803996,True,True,True,"[0.05885, 0.03419, 0.01224]","[2.2403, 5.8421, 6.0582, 1.5546]",3301,1000,8,6,32,4,885.2,cuda,keep,0.05,8,float64,0.25842925714778586,20
hops,s1584,4,gcn,softplus,0.5,1584,0.19760898950396066,0.2764228168279215,0.19760898950396066,0.20184178746803996,True,False,False,"[0.05847, 0.0543, 0.05565]",[],3301,1000,8,6,32,4,35.5,cuda,keep,0.05,8,float64,0.25842925074459583,20
hops,s1584,4,heat,softplus,0.5,1584,0.08481498142635908,0.13382529594852474,0.08481498142636443,0.20184178746803996,True,True,True,"[0.057, 0.03874, 0.01744]","[7.4432, 7.0644, 7.5425, 7.9311]",3301,1000,8,6,32,4,446.7,cuda,keep,0.05,8,float64,0.25842925074459583,20
hops,s1584,4,qw,softplus,0.5,1584,0.09957143764503686,0.1361096308683838,0.0995714376450369,0.20184178746803996,True,True,True,"[0.05491, 0.03192, 0.01766]","[0.5208, 1.3499, 0.0299, 6.325]",3301,1000,8,6,32,4,885.2,cuda,keep,0.05,8,float64,0.25842925074459583,20
hops,s1584,5,gcn,softplus,0.5,1584,0.19389735441773984,0.26070140307679757,0.19389735441773984,0.20184178746803996,True,False,True,"[0.05798, 0.05334, 0.05234]",[],3301,1000,8,6,32,4,35.5,cuda,keep,0.05,8,float64,0.25842925074459583,20
hops,s1584,5,heat,softplus,0.5,1584,0.1023536535664226,0.17299026430170458,0.1023536535664223,0.20184178746803996,True,True,True,"[0.05785, 0.05062, 0.02201]","[8.3435, 8.0075, 5.5767, 5.7727]",3301,1000,8,6,32,4,446.6,cuda,keep,0.05,8,float64,0.25842925074459583,20
hops,s1584,5,qw,softplus,0.5,1584,0.20184178746803996,0.25843799374747994,0.20184178746803993,0.20184178746803996,False,True,True,"[0.05929, 0.04091, 0.03611]","[3.9395, 4.5599, 3.8707, 3.5703]",3301,1000,8,6,32,4,885.2,cuda,keep,0.05,8,float64,0.25842925074459583,20
hops,s1584,6,gcn,softplus,0.5,1584,0.19751542875476483,0.25749222362425783,0.1975154287547648,0.20184178746803996,True,False,True,"[0.05776, 0.05397, 0.05379]",[],3301,1000,8,6,32,4,35.5,cuda,keep,0.05,8,float64,0.25842925074459583,20
hops,s1584,6,heat,softplus,0.5,1584,0.08248737303568952,0.13993268498593756,0.08248737303570941,0.20184178746803996,True,True,True,"[0.05764, 0.04114, 0.02087]","[0.1228, 0.0012, 0.0018, 8.3856]",3301,1000,8,6,32,4,446.6,cuda,keep,0.05,8,float64,0.25842925074459583,20
hops,s1584,6,qw,softplus,0.5,1584,0.05180791668917515,0.0648460862599591,0.05180791668917514,0.20184178746803996,True,True,True,"[0.05776, 0.0451, 0.01112]","[5.5798, 2.1869, 1.7871, 6.2117]",3301,1000,8,6,32,4,885.1,cuda,keep,0.05,8,float64,0.25842925074459583,20
hops,s1584,7,gcn,softplus,0.5,1584,0.19369867022557186,0.2521996362052014,0.19369867022557186,0.20184178746803996,True,True,True,"[0.05905, 0.0529, 0.05222]",[],3301,1000,8,6,32,4,35.4,cuda,keep,0.05,8,float64,0.25842925074459583,20
hops,s1584,7,heat,softplus,0.5,1584,0.08501989054425468,0.1311660013352497,0.08501989054428521,0.20184178746803996,True,True,True,"[0.05909, 0.03844, 0.01766]","[11.9998, 5.7541, 5.8763, 5.925]",3301,1000,8,6,32,4,446.6,cuda,keep,0.05,8,float64,0.25842925074459583,20
hops,s1584,7,qw,softplus,0.5,1584,0.16793531787111327,0.19910341508683008,0.16793531787111315,0.20184178746803996,True,True,True,"[0.05917, 0.05139, 0.04776]","[0.9991, 2.6474, 2.0307, 0.4959]",3301,1000,8,6,32,4,885.0,cuda,keep,0.05,8,float64,0.25842925074459583,20
hops,s1584,8,gcn,softplus,0.5,1584,0.1901560546884752,0.2501507308392452,0.1901560546884752,0.20184178746803996,True,False,True,"[0.05613, 0.05091, 0.05052]",[],3301,1000,8,6,32,4,35.4,cuda,keep,0.05,8,float64,0.25842925074459583,20
hops,s1584,8,heat,softplus,0.5,1584,0.07409153203630965,0.12551639596849842,0.07409153203638298,0.20184178746803996,True,True,True,"[0.05635, 0.03126, 0.01272]","[0.0653, 0.0029, 1.2964, 8.8662]",3301,1000,8,6,32,4,446.6,cuda,keep,0.05,8,float64,0.25842925074459583,20
hops,s1584,8,qw,softplus,0.5,1584,0.06657156022293971,0.09383845730382763,0.06657156022293978,0.20184178746803996,True,True,True,"[0.05437, 0.04673, 0.01528]","[2.9499, 4.7405, 0.4578, 5.3583]",3301,1000,8,6,32,4,885.0,cuda,keep,0.05,8,float64,0.25842925074459583,20
hops,s1584,9,gcn,softplus,0.5,1584,0.1903772002620612,0.25034332644394525,0.19037720026206123,0.20184178746803996,True,True,True,"[0.05646, 0.0521, 0.05057]",[],3301,1000,8,6,32,4,35.5,cuda,keep,0.05,8,float64,0.25842925074459583,20
hops,s1584,9,heat,softplus,0.5,1584,0.08628675730713148,0.15047158685273476,0.08628675730714055,0.20184178746803996,True,True,True,"[0.05666, 0.05008, 0.02326]","[9.6279, 6.0337, 5.1564, 5.455]",3301,1000,8,6,32,4,446.6,cuda,keep,0.05,8,float64,0.25842925074459583,20
hops,s1584,9,qw,softplus,0.5,1584,0.20184178746803996,0.25842924194567596,0.20184178746803993,0.20184178746803996,False,False,False,"[0.05673, 0.05238, 0.05584]","[3.471, 2.8547, 1.1275, 1.4538]",3301,1000,8,6,32,4,885.0,cuda,keep,0.05,8,float64,0.25842925074459583,20
