task,shell,seed,op,t_param,t_init,n_nodes,mae,aurc,train_mae,const_mae,beats_const,valid,monotone,loss_thirds,t_learned,params,epochs,n_train,n_eval,hidden,n_layers,secs,device,seam,ppr_alpha,sgc_k,dtype,const_aurc,ppr_k
hops,s3168,0,gcn,relu,0.5,3168,0.17226336160533584,0.23212056556027708,0.180491883232437,0.18145969069973641,True,True,True,"[0.05409, 0.047, 0.04617]",[],3301,1000,8,6,32,4,72.7,cuda,cut,0.05,8,float32,0.2733522829962756,20
hops,s3168,0,heat,relu,0.5,3168,0.125242454192667,0.16512473727597402,0.1331518978789458,0.18145969069973641,True,True,True,"[0.05285, 0.04076, 0.03109]","[13.9865, -0.1496, -0.152, -0.1494]",3301,1000,8,6,32,4,111.3,cuda,cut,0.05,8,float32,0.2733522829962756,20
hops,s3168,0,qw,relu,0.5,3168,0.18222494879486636,0.2706540220978392,0.18950070657607432,0.18145969069973641,False,False,True,"[0.05077, 0.05031, 0.05021]","[0.8294, 3.0202, 4.1559, 1.8037]",3301,1000,8,6,32,4,234.7,cuda,cut,0.05,8,float32,0.2733522829962756,20
hops,s3168,1,gcn,relu,0.5,3168,0.18616308219772404,0.2544147877987822,0.19990357789496135,0.19040591222322656,True,False,True,"[0.05916, 0.05472, 0.0543]",[],3301,1000,8,6,32,4,57.2,cuda,cut,0.05,8,float32,0.28291310491861643,20
hops,s3168,1,heat,relu,0.5,3168,0.15840308574088677,0.22079307914695626,0.17267120436030603,0.19040591222322656,True,True,True,"[0.05912, 0.05381, 0.03946]","[14.1921, 11.5835, -0.1023, -0.1746]",3301,1000,8,6,32,4,111.2,cuda,cut,0.05,8,float32,0.28291310491861643,20
hops,s3168,1,qw,relu,0.5,3168,0.1923133874876873,0.2721119994259678,0.2053282616723645,0.19040591222322656,False,False,True,"[0.05865, 0.05742, 0.05704]","[3.3941, 3.9182, -0.1311, 1.5452]",3301,1000,8,6,32,4,234.7,cuda,cut,0.05,8,float32,0.28291310491861643,20
hops,s3168,2,gcn,relu,0.5,3168,0.1879931789737035,0.27789393283200753,0.18952098581822344,0.18885280880767394,True,False,True,"[0.05279, 0.05069, 0.05039]",[],3301,1000,8,6,32,4,57.3,cuda,cut,0.05,8,float32,0.27335988091577906,20
hops,s3168,2,heat,relu,0.5,3168,0.10752972707788143,0.15713461161042203,0.11108635896093663,0.18885280880767394,True,True,True,"[0.05246, 0.05024, 0.03384]","[10.7047, 9.2377, 6.7486, -0.1623]",3301,1000,8,6,32,4,111.4,cuda,cut,0.05,8,float32,0.27335988091577906,20
hops,s3168,2,qw,relu,0.5,3168,0.06876062189275085,0.11212246864335307,0.06604181768371478,0.18885280880767394,True,True,True,"[0.05247, 0.0506, 0.02926]","[5.8393, 4.9463, 2.9158, -0.0776]",3301,1000,8,6,32,4,235.6,cuda,cut,0.05,8,float32,0.27335988091577906,20
hops,s3168,3,gcn,relu,0.5,3168,0.19650493904098443,0.25730528899152777,0.17939701568361166,0.19969980827360634,True,False,False,"[0.04804, 0.04567, 0.04577]",[],3301,1000,8,6,32,4,57.8,cuda,cut,0.05,8,float32,0.28059882068210995,20
hops,s3168,3,heat,relu,0.5,3168,0.17076066169471896,0.26388963305946794,0.14444628809834476,0.19969980827360634,True,True,True,"[0.04653, 0.0388, 0.03193]","[12.3562, -0.1115, -0.1684, -0.1672]",3301,1000,8,6,32,4,111.9,cuda,cut,0.05,8,float32,0.28059882068210995,20
hops,s3168,3,qw,relu,0.5,3168,0.08927405785202043,0.16413937261286446,0.0925855774254858,0.19969980827360634,True,True,True,"[0.0419, 0.03458, 0.01526]","[4.7288, 3.532, 2.9556, 5.7028]",3301,1000,8,6,32,4,238.1,cuda,cut,0.05,8,float32,0.28059882068210995,20
hops,s3168,4,gcn,relu,0.5,3168,0.17010837944597046,0.2305316526972706,0.17503737309964368,0.1793584594746459,True,True,True,"[0.04956, 0.04517, 0.04401]",[],3301,1000,8,6,32,4,57.7,cuda,cut,0.05,8,float32,0.26918628746396744,20
hops,s3168,4,heat,relu,0.5,3168,0.1121812948413422,0.15273299354487038,0.11944145760149107,0.1793584594746459,True,True,True,"[0.04931, 0.03484, 0.02647]","[14.8513, -0.1144, -0.2123, -0.2057]",3301,1000,8,6,32,4,112.9,cuda,cut,0.05,8,float32,0.26918628746396744,20
