task,shell,seed,op,t_param,t_init,n_nodes,mae,aurc,train_mae,const_mae,beats_const,valid,monotone,loss_thirds,t_learned,params,epochs,n_train,n_eval,hidden,n_layers,secs,device,seam,ppr_alpha,sgc_k,dtype,const_aurc,ppr_k
hops,s1584,0,gcn,relu,2.0,1584,0.18828455530779642,0.24387197520521778,0.1989000991026217,0.20284212697399248,True,False,False,"[0.06429, 0.05531, 0.05604]",[],3301,1000,8,6,32,4,36.8,cuda,cut,0.05,8,float32,0.29289856883747234,20
hops,s1584,0,heat,relu,2.0,1584,0.0826426825869471,0.09410993963450431,0.08161366038933406,0.20284212697399248,True,True,True,"[0.06532, 0.03328, 0.01636]","[14.086, 10.855, -0.2326, -0.2474]",3301,1000,8,6,32,4,61.3,cuda,cut,0.05,8,float32,0.29289856883747234,20
hops,s1584,0,qw,relu,2.0,1584,0.05982787946359841,0.06683229346620158,0.05492843072679167,0.20284212697399248,True,True,True,"[0.06558, 0.02838, 0.008]","[5.2519, 3.8826, 4.9523, 4.2832]",3301,1000,8,6,32,4,122.5,cuda,cut,0.05,8,float32,0.29289856883747234,20
hops,s1584,1,gcn,relu,2.0,1584,0.20716683871484354,0.2811199856708643,0.2196070084335386,0.21422125618812327,True,False,True,"[0.07126, 0.06581, 0.06526]",[],3301,1000,8,6,32,4,34.3,cuda,cut,0.05,8,float32,0.30389307316246,20
hops,s1584,1,heat,relu,2.0,1584,0.09000458791483544,0.10170628826157939,0.09434961502641942,0.21422125618812327,True,True,True,"[0.07079, 0.05558, 0.02798]","[12.7429, 9.67, -0.2054, -0.1965]",3301,1000,8,6,32,4,61.1,cuda,cut,0.05,8,float32,0.30389307316246,20
hops,s1584,1,qw,relu,2.0,1584,0.21677022123347142,0.2903497462029061,0.22986915883240103,0.21422125618812327,False,False,False,"[0.07136, 0.05803, 0.06962]","[4.5984, 2.4082, -0.2157, 4.2728]",3301,1000,8,6,32,4,121.8,cuda,cut,0.05,8,float32,0.30389307316246,20
hops,s1584,2,gcn,relu,2.0,1584,0.2064972806130834,0.24670383549859098,0.21068954843095258,0.21167407191032386,True,False,False,"[0.06276, 0.0584, 0.06152]",[],3301,1000,8,6,32,4,34.7,cuda,cut,0.05,8,float32,0.2918149112920989,20
hops,s1584,2,heat,relu,2.0,1584,0.08215126225031812,0.11392726068637178,0.08137871888160442,0.21167407191032386,True,True,True,"[0.06335, 0.03522, 0.01446]","[10.6007, 10.0697, 8.7378, 7.5719]",3301,1000,8,6,32,4,48.0,cuda,cut,0.05,8,float32,0.2918149112920989,20
hops,s1584,2,qw,relu,2.0,1584,0.21295544761546611,0.2987874265762422,0.2147628100488377,0.21167407191032386,False,False,False,"[0.0636, 0.05557, 0.06234]","[3.9835, 2.9585, 3.1142, 2.5999]",3301,1000,8,6,32,4,116.7,cuda,cut,0.05,8,float32,0.2918149112920989,20
hops,s1584,3,gcn,relu,2.0,1584,0.2158664379320625,0.2718801776688195,0.19642619266306438,0.22380801566652261,True,False,False,"[0.05768, 0.05414, 0.05426]",[],3301,1000,8,6,32,4,34.7,cuda,cut,0.05,8,float32,0.30001465975182123,20
