task,shell,seed,op,t_param,t_init,n_nodes,mae,aurc,train_mae,const_mae,beats_const,valid,monotone,loss_thirds,t_learned,params,epochs,n_train,n_eval,hidden,n_layers,secs,device,seam,ppr_alpha,sgc_k,dtype,const_aurc,ppr_k
hops,s3168,0,gcn,softplus,0.5,3168,0.17226336160533584,0.23212056556027708,0.180491883232437,0.18145969069973641,True,True,True,"[0.05409, 0.047, 0.04617]",[],3301,1000,8,6,32,4,64.2,cuda,cut,0.05,8,float32,0.2733522829962756,20
hops,s3168,0,heat,softplus,0.5,3168,0.08885158824629343,0.12200668085495307,0.09393827899945947,0.18145969069973641,True,True,True,"[0.05283, 0.03295, 0.02061]","[11.9457, 9.6743, 9.9607, 9.9187]",3301,1000,8,6,32,4,114.9,cuda,cut,0.05,8,float32,0.2733522829962756,20
hops,s3168,0,qw,softplus,0.5,3168,0.10672365262577631,0.13584911064119456,0.1133383513425919,0.18145969069973641,True,True,True,"[0.05211, 0.03333, 0.02563]","[0.9466, 5.6334, 4.7841, 2.5326]",3301,1000,8,6,32,4,242.5,cuda,cut,0.05,8,float32,0.2733522829962756,20
hops,s3168,1,gcn,softplus,0.5,3168,0.18616308219772404,0.2544147877987822,0.19990357789496135,0.19040591222322656,True,False,True,"[0.05916, 0.05472, 0.0543]",[],3301,1000,8,6,32,4,62.7,cuda,cut,0.05,8,float32,0.28291310491861643,20
hops,s3168,1,heat,softplus,0.5,3168,0.19231338490381591,0.27211199959790694,0.2053282598308858,0.19040591222322656,False,False,False,"[0.05912, 0.05045, 0.05959]","[10.4902, 7.1367, 5.0212, 5.4755]",3301,1000,8,6,32,4,111.7,cuda,cut,0.05,8,float32,0.28291310491861643,20
hops,s3168,1,qw,softplus,0.5,3168,0.19231338827476463,0.272111996079687,0.2053282612796098,0.19040591222322656,False,False,False,"[0.0587, 0.04937, 0.05707]","[4.317, 5.3271, 0.7374, 3.3496]",3301,1000,8,6,32,4,237.3,cuda,cut,0.05,8,float32,0.28291310491861643,20
hops,s3168,2,gcn,softplus,0.5,3168,0.1879931789737035,0.27789393283200753,0.18952098581822344,0.18885280880767394,True,False,True,"[0.05279, 0.05069, 0.05039]",[],3301,1000,8,6,32,4,59.9,cuda,cut,0.05,8,float32,0.27335988091577906,20
hops,s3168,2,heat,softplus,0.5,3168,0.0922390293023825,0.12729667300036637,0.09446018237801093,0.18885280880767394,True,True,True,"[0.05245, 0.04614, 0.02556]","[11.6075, 10.0479, 8.5341, 6.6373]",3301,1000,8,6,32,4,112.4,cuda,cut,0.05,8,float32,0.27335988091577906,20
hops,s3168,2,qw,softplus,0.5,3168,0.11243911238872488,0.1790449231536678,0.11686258667605492,0.18885280880767394,True,True,True,"[0.05246, 0.05078, 0.04498]","[4.3255, 3.1447, 0.9466, 1.878]",3301,1000,8,6,32,4,238.8,cuda,cut,0.05,8,float32,0.27335988091577906,20
hops,s3168,3,gcn,softplus,0.5,3168,0.19650493904098443,0.25730528899152777,0.17939701568361166,0.19969980827360634,True,False,False,"[0.04804, 0.04567, 0.04577]",[],3301,1000,8,6,32,4,60.9,cuda,cut,0.05,8,float32,0.28059882068210995,20
hops,s3168,3,heat,softplus,0.5,3168,0.12286879235546588,0.17021214428880682,0.1025739977729502,0.19969980827360634,True,True,True,"[0.04585, 0.03369, 0.02422]","[9.471, 8.3749, 8.0246, 9.3104]",3301,1000,8,6,32,4,112.5,cuda,cut,0.05,8,float32,0.28059882068210995,20
hops,s3168,3,qw,softplus,0.5,3168,0.07240185367818748,0.10054188526022334,0.07090698068342971,0.19969980827360634,True,True,True,"[0.04195, 0.02774, 0.01184]","[4.122, 1.7585, 0.695, 6.2115]",3301,1000,8,6,32,4,238.6,cuda,cut,0.05,8,float32,0.28059882068210995,20
hops,s3168,4,gcn,softplus,0.5,3168,0.17010837944597046,0.2305316526972706,0.17503737309964368,0.1793584594746459,True,True,True,"[0.04956, 0.04517, 0.04401]",[],3301,1000,8,6,32,4,58.2,cuda,cut,0.05,8,float32,0.26918628746396744,20
hops,s3168,4,heat,softplus,0.5,3168,0.08919554269815377,0.1251858293117926,0.0946915387418509,0.1793584594746459,True,True,True,"[0.04927, 0.04203, 0.02398]","[11.8315, 8.1753, 6.6265, 6.4907]",3301,1000,8,6,32,4,112.1,cuda,cut,0.05,8,float32,0.26918628746396744,20
hops,s3168,4,qw,softplus,0.5,3168,0.17866221823363473,0.26805035628236656,0.18228329649248579,0.1793584594746459,True,False,False,"[0.04891, 0.04654, 0.04793]","[0.9026, 3.5368, 2.1496, 1.49]",3301,1000,8,6,32,4,238.8,cuda,cut,0.05,8,float32,0.26918628746396744,20
hops,s3168,5,gcn,softplus,0.5,3168,0.17815702330618577,0.2673358002831432,0.1918300271542529,0.18268675369910994,True,False,False,"[0.05629, 0.05171, 0.05176]",[],3301,1000,8,6,32,4,59.2,cuda,cut,0.05,8,float32,0.2718316066357322,20
hops,s3168,5,heat,softplus,0.5,3168,0.08392879260719209,0.11779652791062366,0.08562344371654548,0.18268675369910994,True,True,True,"[0.05643, 0.04379, 0.0209]","[13.4965, 13.0229, 10.024, 9.9634]",3301,1000,8,6,32,4,111.9,cuda,cut,0.05,8,float32,0.2718316066357322,20
hops,s3168,5,qw,softplus,0.5,3168,0.0764625227569347,0.08431664244869884,0.06605532307414728,0.18268675369910994,True,True,True,"[0.05646, 0.03754, 0.01041]","[5.9761, 4.9118, 3.4854, 3.8136]",3301,1000,8,6,32,4,238.7,cuda,cut,0.05,8,float32,0.2718316066357322,20
hops,s3168,6,gcn,softplus,0.5,3168,0.17390736273347998,0.26324370496296945,0.1793818404526753,0.18185050115408688,True,True,True,"[0.05093, 0.04745, 0.04509]",[],3301,1000,8,6,32,4,59.0,cuda,cut,0.05,8,float32,0.2743894027213865,20
hops,s3168,6,heat,softplus,0.5,3168,0.10941483786032513,0.17705062176358463,0.11279331514055634,0.18185050115408688,True,True,True,"[0.05044, 0.032, 0.01703]","[13.559, 9.8755, 9.4162, 9.4492]",3301,1000,8,6,32,4,112.8,cuda,cut,0.05,8,float32,0.2743894027213865,20
hops,s3168,6,qw,softplus,0.5,3168,0.072305700423428,0.1091331322541531,0.07091281184370422,0.18185050115408688,True,True,True,"[0.05022, 0.03677, 0.01278]","[4.8075, 4.8271, 4.2926, 4.2321]",3301,1000,8,6,32,4,238.8,cuda,cut,0.05,8,float32,0.2743894027213865,20
hops,s3168,7,gcn,softplus,0.5,3168,0.18262372346151415,0.26016376752319276,0.18637482231853864,0.18507136827534076,True,False,True,"[0.05008, 0.04657, 0.04651]",[],3301,1000,8,6,32,4,58.9,cuda,cut,0.05,8,float32,0.26741651358657087,20
hops,s3168,7,heat,softplus,0.5,3168,0.09339890553564445,0.14365930321355722,0.09763331520838564,0.18507136827534076,True,True,True,"[0.04965, 0.03602, 0.02021]","[12.114, 11.8994, 9.8302, 9.2518]",3301,1000,8,6,32,4,111.9,cuda,cut,0.05,8,float32,0.26741651358657087,20
hops,s3168,7,qw,softplus,0.5,3168,0.06941614254891852,0.10066537133142284,0.06260202704053348,0.18507136827534076,True,True,True,"[0.0507, 0.03451, 0.01262]","[5.1882, 4.6663, 4.0159, 4.0465]",3301,1000,8,6,32,4,238.5,cuda,cut,0.05,8,float32,0.26741651358657087,20
hops,s3168,8,gcn,softplus,0.5,3168,0.1872196127035379,0.2483576754083954,0.18714395055642608,0.1912017751366342,True,False,True,"[0.05371, 0.04926, 0.04901]",[],3301,1000,8,6,32,4,47.1,cuda,cut,0.05,8,float32,0.2826095126381792,20
hops,s3168,8,heat,softplus,0.5,3168,0.10020294194780006,0.15796419402427297,0.09938695838553196,0.1912017751366342,True,True,True,"[0.05482, 0.04747, 0.02575]","[11.9798, 7.8232, 7.5358, 8.8489]",3301,1000,8,6,32,4,113.5,cuda,cut,0.05,8,float32,0.2826095126381792,20
hops,s3168,8,qw,softplus,0.5,3168,0.1670563958723628,0.23127556088557988,0.16528646363932614,0.1912017751366342,True,False,False,"[0.04948, 0.0406, 0.04319]","[3.495, 1.6359, 0.4671, 4.852]",3301,1000,8,6,32,4,238.5,cuda,cut,0.05,8,float32,0.2826095126381792,20
hops,s3168,9,gcn,softplus,0.5,3168,0.16752791619146837,0.23637070074089847,0.18175872437323143,0.17697521552400586,True,False,True,"[0.05159, 0.04736, 0.04657]",[],3301,1000,8,6,32,4,58.1,cuda,cut,0.05,8,float32,0.26738294438242854,20
hops,s3168,9,heat,softplus,0.5,3168,0.17810020761577894,0.270957688776082,0.1901662506595562,0.17697521552400586,False,False,False,"[0.05161, 0.0466, 0.05062]","[6.2492, 6.1684, 5.7108, 2.2167]",3301,1000,8,6,32,4,112.2,cuda,cut,0.05,8,float32,0.26738294438242854,20
hops,s3168,9,qw,softplus,0.5,3168,0.07344204324568263,0.10163395869099885,0.06842698124951725,0.17697521552400586,True,True,True,"[0.04485, 0.02305, 0.01051]","[1.9133, 4.3062, 1.2615, 6.2023]",3301,1000,8,6,32,4,238.5,cuda,cut,0.05,8,float32,0.26738294438242854,20
