task,shell,seed,op,t_param,t_init,n_nodes,mae,aurc,train_mae,const_mae,beats_const,valid,monotone,loss_thirds,t_learned,params,epochs,n_train,n_eval,hidden,n_layers,secs,device,seam,ppr_alpha,sgc_k,dtype,const_aurc,ppr_k
hops,s1584,0,gcn,softplus,2.0,1584,0.18828455530779642,0.24387197520521778,0.1989000991026217,0.20284212697399248,True,False,False,"[0.06429, 0.05531, 0.05604]",[],3301,1000,8,6,32,4,37.2,cuda,cut,0.05,8,float32,0.29289856883747234,20
hops,s1584,0,heat,softplus,2.0,1584,0.07841582048679656,0.09114807769545759,0.07549310574158696,0.20284212697399248,True,True,True,"[0.06533, 0.03163, 0.01347]","[12.2736, 9.1955, 8.252, 7.8037]",3301,1000,8,6,32,4,61.4,cuda,cut,0.05,8,float32,0.29289856883747234,20
hops,s1584,0,qw,softplus,2.0,1584,0.20358450879830467,0.2888914040864732,0.2131363817251339,0.20284212697399248,False,False,False,"[0.06557, 0.03158, 0.03988]","[5.3253, 3.928, 4.8944, 4.5418]",3301,1000,8,6,32,4,122.6,cuda,cut,0.05,8,float32,0.29289856883747234,20
hops,s1584,1,gcn,softplus,2.0,1584,0.20716683871484354,0.2811199856708643,0.2196070084335386,0.21422125618812327,True,False,True,"[0.07126, 0.06581, 0.06526]",[],3301,1000,8,6,32,4,33.9,cuda,cut,0.05,8,float32,0.30389307316246,20
hops,s1584,1,heat,softplus,2.0,1584,0.21677022394277345,0.29034972836689055,0.22986915908639807,0.21422125618812327,False,False,False,"[0.07105, 0.03684, 0.06777]","[10.3801, 7.0084, 5.2297, 5.8761]",3301,1000,8,6,32,4,61.1,cuda,cut,0.05,8,float32,0.30389307316246,20
hops,s1584,1,qw,softplus,2.0,1584,0.05599031098357868,0.06871396108797005,0.0450128089237342,0.21422125618812327,True,True,True,"[0.07136, 0.03347, 0.00678]","[5.224, 4.0401, 3.1603, 5.6758]",3301,1000,8,6,32,4,122.5,cuda,cut,0.05,8,float32,0.30389307316246,20
hops,s1584,2,gcn,softplus,2.0,1584,0.2064972806130834,0.24670383549859098,0.21068954843095258,0.21167407191032386,True,False,False,"[0.06276, 0.0584, 0.06152]",[],3301,1000,8,6,32,4,33.8,cuda,cut,0.05,8,float32,0.2918149112920989,20
hops,s1584,2,heat,softplus,2.0,1584,0.08680901344887511,0.1271048634727888,0.08552819939249082,0.21167407191032386,True,True,True,"[0.06348, 0.03965, 0.01734]","[9.7267, 8.9772, 7.9545, 7.4221]",3301,1000,8,6,32,4,47.9,cuda,cut,0.05,8,float32,0.2918149112920989,20
hops,s1584,2,qw,softplus,2.0,1584,0.054455436306757865,0.06650405580558727,0.05284328221295245,0.21167407191032386,True,True,True,"[0.0636, 0.03078, 0.00704]","[4.6942, 5.2554, 4.5782, 4.8237]",3301,1000,8,6,32,4,117.5,cuda,cut,0.05,8,float32,0.2918149112920989,20
hops,s1584,3,gcn,softplus,2.0,1584,0.2158664379320625,0.2718801776688195,0.19642619266306438,0.22380801566652261,True,False,False,"[0.05768, 0.05414, 0.05426]",[],3301,1000,8,6,32,4,34.0,cuda,cut,0.05,8,float32,0.30001465975182123,20
hops,s1584,3,heat,softplus,2.0,1584,0.08993868795043226,0.12178122209791138,0.07874633851602222,0.22380801566652261,True,True,True,"[0.05045, 0.02628, 0.01876]","[10.0528, 8.1466, 5.4343, 10.2764]",3301,1000,8,6,32,4,61.3,cuda,cut,0.05,8,float32,0.30001465975182123,20
hops,s1584,3,qw,softplus,2.0,1584,0.046328077159793764,0.06435024822998194,0.05348180759006716,0.22380801566652261,True,True,True,"[0.05377, 0.01435, 0.00594]","[5.2586, 5.2023, 5.3832, 5.5395]",3301,1000,8,6,32,4,118.3,cuda,cut,0.05,8,float32,0.30001465975182123,20
hops,s1584,4,gcn,softplus,2.0,1584,0.1869381177137208,0.2410966151348104,0.1912924767159645,0.20166345434231991,True,True,True,"[0.05941, 0.05328, 0.05134]",[],3301,1000,8,6,32,4,34.3,cuda,cut,0.05,8,float32,0.2875493682492633,20
hops,s1584,4,heat,softplus,2.0,1584,0.08003569184253712,0.11069024499730672,0.08225270381786466,0.20166345434231991,True,True,True,"[0.05892, 0.03909, 0.01264]","[9.6865, 7.2671, 7.2753, 7.3425]",3301,1000,8,6,32,4,61.4,cuda,cut,0.05,8,float32,0.2875493682492633,20
hops,s1584,4,qw,softplus,2.0,1584,0.06014799545377945,0.06354669042662149,0.060891246937292934,0.20166345434231991,True,True,True,"[0.05825, 0.03904, 0.00769]","[5.2562, 4.853, 4.8306, 5.6653]",3301,1000,8,6,32,4,122.0,cuda,cut,0.05,8,float32,0.2875493682492633,20
hops,s1584,5,gcn,softplus,2.0,1584,0.1953292353288819,0.25599004286454163,0.21101516532603498,0.20494496734869297,True,False,True,"[0.06773, 0.06242, 0.06148]",[],3301,1000,8,6,32,4,32.9,cuda,cut,0.05,8,float32,0.28995785954405556,20
hops,s1584,5,heat,softplus,2.0,1584,0.07474662195687316,0.07232218411678049,0.07000210279871644,0.20494496734869297,True,True,True,"[0.06816, 0.0392, 0.0178]","[11.8388, 8.9653, 7.5906, 7.7239]",3301,1000,8,6,32,4,61.3,cuda,cut,0.05,8,float32,0.28995785954405556,20
hops,s1584,5,qw,softplus,2.0,1584,0.09396799624057155,0.14629665707606435,0.08976481574930889,0.20494496734869297,True,True,True,"[0.06817, 0.04129, 0.01179]","[4.9983, 4.5014, 4.4893, 4.5482]",3301,1000,8,6,32,4,122.9,cuda,cut,0.05,8,float32,0.28995785954405556,20
hops,s1584,6,gcn,softplus,2.0,1584,0.18914146002292673,0.24125820829622877,0.19365976646282673,0.20352606689957245,True,True,True,"[0.06054, 0.0585, 0.05364]",[],3301,1000,8,6,32,4,34.5,cuda,cut,0.05,8,float32,0.29468145136268387,20
hops,s1584,6,heat,softplus,2.0,1584,0.07810933191857618,0.09547320962336599,0.07694370495278924,0.20352606689957245,True,False,False,"[0.04844, 0.01654, 0.01749]","[10.179, 9.1079, 8.9614, 9.0777]",3301,1000,8,6,32,4,61.3,cuda,cut,0.05,8,float32,0.29468145136268387,20
