task,shell,seed,op,t_param,t_init,n_nodes,mae,aurc,train_mae,const_mae,beats_const,valid,monotone,loss_thirds,t_learned,params,epochs,n_train,n_eval,hidden,n_layers,secs,device,seam,ppr_alpha,sgc_k,dtype,const_aurc,ppr_k
hops,s3168,0,ppr,softplus,0.5,3168,0.15625252855725283,0.2566551215351583,0.16779468152960153,0.18145969069973641,True,True,True,"[0.05478, 0.04404, 0.03625]",[],3301,1000,8,6,32,4,37.5,cuda,cut,0.05,8,float32,0.2733522829962756,20
hops,s3168,0,sgc,softplus,0.5,3168,0.14625444420556907,0.19829303873975157,0.15513718712867963,0.18145969069973641,True,True,True,"[0.05486, 0.04344, 0.03666]",[],3301,1000,8,6,32,4,34.4,cuda,cut,0.05,8,float32,0.2733522829962756,20
hops,s3168,1,ppr,softplus,0.5,3168,0.17265251459399403,0.311819030935075,0.1976788039965234,0.19040591222322656,True,True,True,"[0.05913, 0.0537, 0.04877]",[],3301,1000,8,6,32,4,34.3,cuda,cut,0.05,8,float32,0.28291310491861643,20
hops,s3168,1,sgc,softplus,0.5,3168,0.17155317773318124,0.24524970434716906,0.18637661154361645,0.19040591222322656,True,True,True,"[0.05918, 0.0528, 0.04938]",[],3301,1000,8,6,32,4,34.2,cuda,cut,0.05,8,float32,0.28291310491861643,20
hops,s3168,2,ppr,softplus,0.5,3168,0.15691721439557557,0.20545460823380177,0.16031164794424174,0.18885280880767394,True,True,True,"[0.05247, 0.04479, 0.03965]",[],3301,1000,8,6,32,4,34.1,cuda,cut,0.05,8,float32,0.27335988091577906,20
hops,s3168,2,sgc,softplus,0.5,3168,0.1777230151386082,0.21329205769043527,0.18200044040471158,0.18885280880767394,True,True,True,"[0.0525, 0.04353, 0.03884]",[],3301,1000,8,6,32,4,34.2,cuda,cut,0.05,8,float32,0.27335988091577906,20
hops,s3168,3,ppr,softplus,0.5,3168,0.19236902953158852,0.252420975800838,0.17809772386798878,0.19969980827360634,True,False,False,"[0.04545, 0.03908, 0.04465]",[],3301,1000,8,6,32,4,34.3,cuda,cut,0.05,8,float32,0.28059882068210995,20
hops,s3168,3,sgc,softplus,0.5,3168,0.1795185417526202,0.23025261197275596,0.15812170003409112,0.19969980827360634,True,True,True,"[0.04612, 0.03912, 0.03654]",[],3301,1000,8,6,32,4,34.3,cuda,cut,0.05,8,float32,0.28059882068210995,20
hops,s3168,4,ppr,softplus,0.5,3168,0.14501611425157993,0.16660175806219946,0.15236418015094866,0.1793584594746459,True,True,True,"[0.04955, 0.04496, 0.03343]",[],3301,1000,8,6,32,4,34.2,cuda,cut,0.05,8,float32,0.26918628746396744,20
hops,s3168,4,sgc,softplus,0.5,3168,0.14193933490581062,0.1862864773458526,0.1488085830029432,0.1793584594746459,True,True,True,"[0.04945, 0.03777, 0.03373]",[],3301,1000,8,6,32,4,34.4,cuda,cut,0.05,8,float32,0.26918628746396744,20
