task,shell,seed,op,t_param,t_init,n_nodes,mae,aurc,train_mae,const_mae,beats_const,valid,monotone,loss_thirds,t_learned,params,epochs,n_train,n_eval,hidden,n_layers,secs,device,seam,ppr_alpha,sgc_k,dtype,const_aurc,ppr_k
hops,s3168,0,ppr,softplus,0.5,3168,0.16742190257457998,0.2263817369131623,0.16742189200048221,0.1775131322700618,True,True,True,"[0.05112, 0.04434, 0.04149]",[],3301,1000,8,6,32,4,36.6,cuda,keep,0.2,8,float32,0.24503996099980466,0
hops,s3168,1,ppr,softplus,0.5,3168,0.16222368676594837,0.22774181893076081,0.1622236857679908,0.17751313254600928,True,True,True,"[0.0477, 0.04358, 0.03894]",[],3301,1000,8,6,32,4,35.1,cuda,keep,0.2,8,float32,0.24503996733854405,0
hops,s3168,2,ppr,softplus,0.5,3168,0.16952993140947104,0.2400877896204293,0.16952993008578573,0.17751313199411436,True,False,True,"[0.04742, 0.04517, 0.04333]",[],3301,1000,8,6,32,4,30.0,cuda,keep,0.2,8,float32,0.2450399546610653,0
hops,s3168,3,ppr,softplus,0.5,3168,0.17649241449054243,0.24310012974851666,0.17649241295793666,0.1775131328219567,True,False,False,"[0.04643, 0.04667, 0.04496]",[],3301,1000,8,6,32,4,35.1,cuda,keep,0.2,8,float32,0.24503997367728345,0
hops,s3168,4,ppr,softplus,0.5,3168,0.16463796162400832,0.23284666573967802,0.16463796001967193,0.17751313227006182,True,False,True,"[0.04709, 0.04294, 0.04289]",[],3301,1000,8,6,32,4,35.1,cuda,keep,0.2,8,float32,0.24503996099980466,0
hops,s3168,5,ppr,softplus,0.5,3168,0.15616871699179688,0.23039667228393657,0.15616871965925605,0.17751313254600923,True,True,True,"[0.04853, 0.04454, 0.04086]",[],3301,1000,8,6,32,4,34.6,cuda,keep,0.2,8,float32,0.24503996733854405,0
hops,s3168,6,ppr,softplus,0.5,3168,0.17383443471122698,0.25380776448088077,0.173834435247247,0.17751313199411436,True,True,True,"[0.04839, 0.04465, 0.04197]",[],3301,1000,8,6,32,4,35.1,cuda,keep,0.2,8,float32,0.2450399546610653,0
hops,s3168,7,ppr,softplus,0.5,3168,0.1770726897085857,0.24403972158897577,0.17707269046822505,0.17751313254600923,True,False,False,"[0.04721, 0.04348, 0.04695]",[],3301,1000,8,6,32,4,35.1,cuda,keep,0.2,8,float32,0.24503996733854405,0
hops,s3168,8,ppr,softplus,0.5,3168,0.1734862739278273,0.23989460577025998,0.1734862753685159,0.17751313199411436,True,False,True,"[0.04855, 0.04536, 0.04474]",[],3301,1000,8,6,32,4,35.1,cuda,keep,0.2,8,float32,0.2450399546610653,0
hops,s3168,9,ppr,softplus,0.5,3168,0.1592930618164785,0.22703922959912706,0.15929306188428943,0.17751313199411436,True,True,True,"[0.04753, 0.04525, 0.03906]",[],3301,1000,8,6,32,4,26.4,cuda,keep,0.2,8,float32,0.2450399546610653,0
