task,shell,seed,op,t_param,t_init,n_nodes,mae,aurc,train_mae,const_mae,beats_const,valid,monotone,loss_thirds,t_learned,params,epochs,n_train,n_eval,hidden,n_layers,secs,device,seam,ppr_alpha,sgc_k,dtype,const_aurc,ppr_k
hops,s3168,0,sgc,softplus,0.5,3168,0.13548188173660528,0.20630512465321404,0.13548187335372217,0.1775131322700618,True,True,True,"[0.05119, 0.04222, 0.03796]",[],3301,1000,8,6,32,4,36.4,cuda,keep,0.05,32,float32,0.24503996099980466,20
hops,s3168,1,sgc,softplus,0.5,3168,0.10962356070467343,0.17978230615950494,0.10962356006620202,0.17751313254600928,True,True,True,"[0.04832, 0.03887, 0.0238]",[],3301,1000,8,6,32,4,35.6,cuda,keep,0.05,32,float32,0.24503996733854405,20
hops,s3168,2,sgc,softplus,0.5,3168,0.10519536125304348,0.16779938236080885,0.10519536203972882,0.17751313199411436,True,True,True,"[0.04744, 0.04222, 0.02696]",[],3301,1000,8,6,32,4,35.7,cuda,keep,0.05,32,float32,0.2450399546610653,20
hops,s3168,3,sgc,softplus,0.5,3168,0.17751313364979895,0.2450399926935016,0.17751313364979895,0.1775131328219567,False,False,False,"[0.04644, 0.04485, 0.04572]",[],3301,1000,8,6,32,4,34.4,cuda,keep,0.05,32,float32,0.24503997367728345,20
hops,s3168,4,sgc,softplus,0.5,3168,0.16770036113275974,0.23715816743482007,0.1677003620589867,0.17751313227006182,True,False,True,"[0.04778, 0.04644, 0.04399]",[],3301,1000,8,6,32,4,26.3,cuda,keep,0.05,32,float32,0.24503996099980466,20
hops,s3168,5,sgc,softplus,0.5,3168,0.11106438835007248,0.17127869760880762,0.11106438957968481,0.17751313254600923,True,True,True,"[0.0491, 0.04508, 0.0334]",[],3301,1000,8,6,32,4,25.5,cuda,keep,0.05,32,float32,0.24503996733854405,20
hops,s3168,6,sgc,softplus,0.5,3168,0.12940167381917358,0.18482966854986435,0.12940167271499192,0.17751313199411436,True,True,True,"[0.04795, 0.04534, 0.03949]",[],3301,1000,8,6,32,4,36.4,cuda,keep,0.05,32,float32,0.2450399546610653,20
hops,s3168,7,sgc,softplus,0.5,3168,0.17719911235488126,0.24467642087233346,0.177199112545379,0.17751313254600923,True,False,False,"[0.04715, 0.04759, 0.04566]",[],3301,1000,8,6,32,4,35.6,cuda,keep,0.05,32,float32,0.24503996733854405,20
hops,s3168,8,sgc,softplus,0.5,3168,0.1775131386168527,0.2450401067908106,0.1775131386168527,0.17751313199411436,False,False,False,"[0.04914, 0.04389, 0.04511]",[],3301,1000,8,6,32,4,35.5,cuda,keep,0.05,32,float32,0.2450399546610653,20
hops,s3168,9,sgc,softplus,0.5,3168,0.1127589984290515,0.18136090636047017,0.11275899469837161,0.17751313199411436,True,True,True,"[0.04743, 0.03705, 0.02473]",[],3301,1000,8,6,32,4,35.6,cuda,keep,0.05,32,float32,0.2450399546610653,20
delay,s3168,0,sgc,softplus,0.5,3168,0.1079809089283959,0.17252267655484266,0.10621454479861323,0.17132890445224533,True,True,True,"[0.04859, 0.04026, 0.03051]",[],3301,1000,8,6,32,4,36.7,cuda,keep,0.05,32,float32,0.2290273921377387,20
delay,s3168,1,sgc,softplus,0.5,3168,0.1071188453456931,0.1622926974901935,0.11816045057496398,0.16584156552513496,True,True,True,"[0.04682, 0.04018, 0.03258]",[],3301,1000,8,6,32,4,36.6,cuda,keep,0.05,32,float32,0.22160523053980408,20
delay,s3168,2,sgc,softplus,0.5,3168,0.12124864094728377,0.21866809183841138,0.12007880892178027,0.16977395215020782,True,True,True,"[0.04437, 0.0408, 0.02804]",[],3301,1000,8,6,32,4,36.7,cuda,keep,0.05,32,float32,0.22787955396072127,20
delay,s3168,3,sgc,softplus,0.5,3168,0.1673472421910627,0.22737063736315297,0.16960456608571942,0.166839625445786,False,False,True,"[0.04349, 0.04281, 0.04149]",[],3301,1000,8,6,32,4,36.6,cuda,keep,0.05,32,float32,0.2234006155660965,20
delay,s3168,4,sgc,softplus,0.5,3168,0.16005565504034314,0.20673672965788437,0.15677177892410493,0.16887261622057373,True,True,True,"[0.04382, 0.04172, 0.03941]",[],3301,1000,8,6,32,4,36.5,cuda,keep,0.05,32,float32,0.22600552994472356,20
delay,s3168,5,sgc,softplus,0.5,3168,0.11384832648565696,0.1773101877404948,0.10445838631641541,0.17610110356471453,True,True,True,"[0.0464, 0.04218, 0.02829]",[],3301,1000,8,6,32,4,36.7,cuda,keep,0.05,32,float32,0.2365409157401118,20
