task,shell,seed,op,t_param,t_init,n_nodes,mae,aurc,train_mae,const_mae,beats_const,valid,monotone,loss_thirds,t_learned,params,epochs,n_train,n_eval,hidden,n_layers,secs,device,seam,ppr_alpha,sgc_k,dtype,const_aurc,ppr_k
hops,s1584,0,heat,relu,0.5,1584,0.07662115607837995,0.07875201942061434,0.07288086236462807,0.20284212697399248,True,True,True,"[0.05584, 0.02115, 0.01183]","[10.7249, 9.3764, 9.2868, 9.2433]",3301,1000,8,6,32,4,447.6,cuda,cut,0.05,8,float64,0.29289856883747234,20
hops,s1584,1,heat,relu,0.5,1584,0.11289178675538526,0.11710215379697969,0.11384619457078449,0.21422125618812327,True,True,True,"[0.07027, 0.05216, 0.03414]","[13.8961, -0.1977, -0.1795, -0.1816]",3301,1000,8,6,32,4,446.1,cuda,cut,0.05,8,float64,0.30389307316246,20
hops,s1584,2,heat,relu,0.5,1584,0.0974610682097361,0.09885554393117595,0.1011616203402892,0.21167407191032386,True,True,True,"[0.06361, 0.0356, 0.02215]","[10.0806, 10.039, -0.2381, -0.2723]",3301,1000,8,6,32,4,446.2,cuda,cut,0.05,8,float64,0.2918149112920989,20
hops,s1584,3,heat,relu,0.5,1584,0.13726832799718336,0.15135507544207225,0.1228523621077492,0.22380801566652261,True,True,True,"[0.06043, 0.03723, 0.02997]","[12.3897, -0.1765, -0.178, -0.2288]",3301,1000,8,6,32,4,446.3,cuda,cut,0.05,8,float64,0.30001465975182123,20
hops,s1584,4,heat,relu,0.5,1584,0.07619247420815342,0.10631748865491371,0.08057472352556526,0.20166345434231991,True,True,True,"[0.05107, 0.01846, 0.01342]","[8.5412, 10.9333, 8.8419, -0.1828]",3301,1000,8,6,32,4,446.3,cuda,cut,0.05,8,float64,0.2875493682492633,20
hops,s1584,5,heat,relu,0.5,1584,0.24511285232033206,0.26589317994979395,0.24240932673047955,0.20494496734869297,False,True,True,"[0.06364, 0.02766, 0.0148]","[-0.1602, 9.9753, 9.3728, 8.5104]",3301,1000,8,6,32,4,446.3,cuda,cut,0.05,8,float64,0.28995785954405556,20
hops,s1584,6,heat,relu,0.5,1584,0.08756592151321041,0.07634493373220508,0.0865359611207123,0.20352606689957245,True,True,True,"[0.04676, 0.01849, 0.00984]","[-0.1912, 7.5505, 8.038, 7.7314]",3301,1000,8,6,32,4,446.1,cuda,cut,0.05,8,float64,0.29468145136268387,20
hops,s1584,7,heat,relu,0.5,1584,0.08637354004130034,0.10641493661917516,0.08956241972873777,0.2073090134066238,True,True,True,"[0.05802, 0.0297, 0.02033]","[12.0619, 11.8867, -0.2109, -0.2046]",3301,1000,8,6,32,4,446.1,cuda,cut,0.05,8,float64,0.28540695962342993,20
hops,s1584,8,heat,relu,0.5,1584,0.12375171265085093,0.1829536975110252,0.12209192445767811,0.2142830371220913,True,True,True,"[0.05936, 0.0265, 0.01389]","[10.9674, 10.5526, 10.1589, -0.2066]",3301,1000,8,6,32,4,446.3,cuda,cut,0.05,8,float64,0.3031558346890644,20
hops,s1584,9,heat,relu,0.5,1584,0.10770524884406348,0.13603527297284057,0.12191716360125121,0.1972476585583153,True,True,True,"[0.05501, 0.04238, 0.03212]","[12.492, -0.1762, -0.2077, -0.1993]",3301,1000,8,6,32,4,446.1,cuda,cut,0.05,8,float64,0.2859626192448666,20
