task,shell,seed,op,t_param,t_init,n_nodes,mae,aurc,train_mae,const_mae,beats_const,valid,monotone,loss_thirds,t_learned,params,epochs,n_train,n_eval,hidden,n_layers,secs,device,seam,ppr_alpha,sgc_k,dtype,const_aurc,ppr_k
hops,s1584,0,qw,relu,0.5,1584,0.05213071170661548,0.06722517858530784,0.05173177050162678,0.20284212697399248,True,True,True,"[0.05472, 0.01578, 0.00576]","[0.9215, 2.5654, 6.7957, 6.7822]",3301,1000,8,6,32,4,928.4,cuda,cut,0.05,8,float64,0.29289856883747234,20
hops,s1584,1,qw,relu,0.5,1584,0.057926638902112526,0.05771628457327722,0.04533048203974448,0.21422125618812327,True,True,True,"[0.05303, 0.00825, 0.00523]","[4.5244, 4.9718, 4.7089, 4.268]",3301,1000,8,6,32,4,930.2,cuda,cut,0.05,8,float64,0.30389307316246,20
hops,s1584,2,qw,relu,0.5,1584,0.09717051157560859,0.1258260650261411,0.09399509346590386,0.21167407191032386,True,False,False,"[0.05806, 0.06705, 0.02536]","[-0.0918, 2.6944, 5.4235, -0.0517]",3301,1000,8,6,32,4,930.1,cuda,cut,0.05,8,float64,0.2918149112920989,20
hops,s1584,3,qw,relu,0.5,1584,0.06778626886994264,0.07452979147990017,0.07129110177285478,0.22380801566652261,True,True,True,"[0.06127, 0.02773, 0.00865]","[5.148, 5.7133, -0.106, -0.0172]",3301,1000,8,6,32,4,930.1,cuda,cut,0.05,8,float64,0.30001465975182123,20
hops,s1584,4,qw,relu,0.5,1584,0.05707824495301709,0.06772658628936062,0.053496309958133564,0.20166345434231991,True,True,True,"[0.04792, 0.00975, 0.00632]","[-0.0889, 5.5408, 3.0187, 6.5826]",3301,1000,8,6,32,4,930.3,cuda,cut,0.05,8,float64,0.2875493682492633,20
hops,s1584,5,qw,relu,0.5,1584,0.12814739838510977,0.08649989668775976,0.11832656290698254,0.20494496734869297,True,True,True,"[0.06098, 0.04506, 0.01841]","[-0.0769, 1.062, 6.1656, 5.2847]",3301,1000,8,6,32,4,930.2,cuda,cut,0.05,8,float64,0.28995785954405556,20
hops,s1584,6,qw,relu,0.5,1584,0.047381344993195,0.06626287193941505,0.04904344513464831,0.20352606689957245,True,True,True,"[0.03952, 0.00823, 0.00749]","[-0.0911, 1.7135, 6.2726, 6.9651]",3301,1000,8,6,32,4,930.2,cuda,cut,0.05,8,float64,0.29468145136268387,20
hops,s1584,7,qw,relu,0.5,1584,0.05969218635456227,0.06945218456942076,0.05649940136029709,0.2073090134066238,True,False,False,"[0.05674, 0.05711, 0.0175]","[5.2652, 5.1857, 4.6865, 4.7986]",3301,1000,8,6,32,4,930.2,cuda,cut,0.05,8,float64,0.28540695962342993,20
hops,s1584,8,qw,relu,0.5,1584,0.055143047972467475,0.05749216476472765,0.05108067718568371,0.2142830371220913,True,True,True,"[0.04889, 0.04028, 0.00605]","[6.0263, 6.8643, 3.0585, -0.0404]",3301,1000,8,6,32,4,930.1,cuda,cut,0.05,8,float64,0.3031558346890644,20
hops,s1584,9,qw,relu,0.5,1584,0.06175700330630038,0.06218771524260957,0.058450623122630274,0.1972476585583153,True,True,True,"[0.05808, 0.03114, 0.00905]","[2.5691, 6.1377, 6.5697, 3.0784]",3301,1000,8,6,32,4,930.2,cuda,cut,0.05,8,float64,0.2859626192448666,20
hops,s1584,0,qw,relu,2.0,1584,0.05809187407243007,0.07681313470098007,0.057299337300354476,0.20284212697399248,True,True,True,"[0.06497, 0.0472, 0.00808]","[5.0294, 4.3271, 5.1187, 4.9064]",3301,1000,8,6,32,4,928.2,cuda,cut,0.05,8,float64,0.29289856883747234,20
hops,s1584,1,qw,relu,2.0,1584,0.2167729999339394,0.2903905128188757,0.22987351289770802,0.21422125618812327,False,False,False,"[0.07067, 0.06187, 0.06963]","[4.4292, 3.2534, 4.1185, 2.6929]",3301,1000,8,6,32,4,926.6,cuda,cut,0.05,8,float64,0.30389307316246,20
hops,s1584,2,qw,relu,2.0,1584,0.21295544750145345,0.29878742923640655,0.21476280981612986,0.21167407191032386,False,False,False,"[0.06303, 0.05413, 0.06258]","[3.592, 4.1711, 2.7937, -0.0735]",3301,1000,8,6,32,4,926.6,cuda,cut,0.05,8,float64,0.2918149112920989,20
hops,s1584,3,qw,relu,2.0,1584,0.22496313936973708,0.3104344856718378,0.20981872414338298,0.22380801566652261,False,False,False,"[0.05173, 0.01788, 0.05997]","[4.5093, 4.7759, 5.0381, 5.2488]",3301,1000,8,6,32,4,926.5,cuda,cut,0.05,8,float64,0.30001465975182123,20
hops,s1584,4,qw,relu,2.0,1584,0.0711739767243611,0.10151886706951012,0.06485146669221303,0.20166345434231991,True,True,True,"[0.05935, 0.01861, 0.00726]","[2.5542, 2.5639, 6.6376, 6.6807]",3301,1000,8,6,32,4,926.6,cuda,cut,0.05,8,float64,0.2875493682492633,20
hops,s1584,5,qw,relu,2.0,1584,0.05730944897558027,0.05837930121237689,0.05407998004225959,0.20494496734869297,True,True,True,"[0.06764, 0.06061, 0.00951]","[4.9235, 4.6305, 4.5526, 5.2656]",3301,1000,8,6,32,4,926.6,cuda,cut,0.05,8,float64,0.28995785954405556,20
hops,s1584,6,qw,relu,2.0,1584,0.05482726859851442,0.0677109509747827,0.05345757482802592,0.20352606689957245,True,True,True,"[0.05659, 0.01771, 0.00672]","[5.326, 4.4357, 4.9477, 5.9988]",3301,1000,8,6,32,4,926.6,cuda,cut,0.05,8,float64,0.29468145136268387,20
