task,shell,seed,op,t_param,t_init,n_nodes,mae,aurc,train_mae,const_mae,beats_const,valid,monotone,loss_thirds,t_learned,params,epochs,n_train,n_eval,hidden,n_layers,secs,device,seam,ppr_alpha,sgc_k,dtype,const_aurc,ppr_k
hops,s264,0,heat,relu,0.5,264,0.05257406607040107,0.08402298346231847,0.052574066070401375,0.18892974581456545,True,True,True,"[0.04257, 0.00661, 0.00532]","[5.7319, -0.1802, -0.1781, -0.1784]",3301,1000,8,6,32,4,41.7,cuda,keep,0.05,8,float64,0.2554661269547562,20
hops,s264,0,qw,relu,0.5,264,0.13521842156716066,0.20472951214730148,0.1352184215671608,0.18892974581456545,True,True,True,"[0.04886, 0.03175, 0.03009]","[0.9771, -0.054, -0.0586, -0.0593]",3301,1000,8,6,32,4,41.4,cuda,keep,0.05,8,float64,0.2554661269547562,20
hops,s264,1,heat,relu,0.5,264,0.06217289350672706,0.12230833504775386,0.0621728935067276,0.18892974581456545,True,True,True,"[0.03472, 0.00826, 0.00535]","[5.4157, -0.1892, -0.1978, -0.2001]",3301,1000,8,6,32,4,40.5,cuda,keep,0.05,8,float64,0.2554661269547562,20
hops,s264,1,qw,relu,0.5,264,0.14226023973051238,0.24908190556699103,0.14226023973051227,0.18892974581456545,True,True,True,"[0.04604, 0.03276, 0.02972]","[0.9811, -0.0524, -0.0542, -0.0544]",3301,1000,8,6,32,4,41.2,cuda,keep,0.05,8,float64,0.2554661269547562,20
hops,s264,2,heat,relu,0.5,264,0.06900686389810029,0.13108095180176724,0.0690068638980998,0.18892974543827354,True,True,True,"[0.02218, 0.00613, 0.00568]","[1.9939, 2.3248, 1.8122, -0.1677]",3301,1000,8,6,32,4,40.1,cuda,keep,0.05,8,float64,0.25546612055683543,20
hops,s264,2,qw,relu,0.5,264,0.14048193812500798,0.14676290203736964,0.140481938125008,0.18892974543827354,True,True,True,"[0.03836, 0.02766, 0.02295]","[-0.1092, 1.0278, -0.0722, -0.0696]",3301,1000,8,6,32,4,41.5,cuda,keep,0.05,8,float64,0.25546612055683543,20
hops,s264,3,heat,relu,0.5,264,0.05345705514511092,0.07474541888780659,0.053457055145109816,0.18892974543827348,True,True,True,"[0.03956, 0.00655, 0.0053]","[5.7245, -0.1598, -0.1539, -0.1507]",3301,1000,8,6,32,4,40.0,cuda,keep,0.05,8,float64,0.25546612055683543,20
hops,s264,3,qw,relu,0.5,264,0.1536081089848679,0.21230349164622656,0.15360810898486793,0.18892974543827348,True,False,False,"[0.04678, 0.0307, 0.03247]","[0.9573, -0.0444, -0.0385, -0.0481]",3301,1000,8,6,32,4,41.4,cuda,keep,0.05,8,float64,0.25546612055683543,20
hops,s264,4,heat,relu,0.5,264,0.054868446763875305,0.08872732630822457,0.05486844676387414,0.1889297446856896,True,True,True,"[0.02674, 0.00659, 0.00577]","[3.1997, 2.9797, -0.1805, -0.188]",3301,1000,8,6,32,4,40.1,cuda,keep,0.05,8,float64,0.255466107760994,20
hops,s264,4,qw,relu,0.5,264,0.07636643265868087,0.12668200507068123,0.07636643265868089,0.1889297446856896,True,True,True,"[0.02793, 0.01105, 0.0103]","[1.5894, 1.3815, -0.0728, -0.0763]",3301,1000,8,6,32,4,41.3,cuda,keep,0.05,8,float64,0.255466107760994,20
